Evaluations,Fitness
1,(21.347402664233137,)
18,(21.30315073454419,)
19,(21.285018699640958,)
32,(21.19780095545982,)
184,(21.116477551615006,)
202,(20.863368623684345,)
346,(20.579348732212058,)
354,(20.214255063199985,)
470,(20.180619560163443,)
512,(20.127791615248185,)
551,(19.955626496199585,)
636,(19.7232569886524,)
669,(19.68646713669567,)
694,(19.485622283659318,)
721,(19.350236635928017,)
726,(19.26833863178873,)
747,(18.686433824401153,)
851,(18.5766556321028,)
1039,(18.0795573465689,)
1222,(18.02159184654281,)
1223,(17.949114474612216,)
1243,(17.882290892361453,)
1248,(17.78934984199154,)
1260,(17.717904490880578,)
1275,(17.68800493967506,)
1329,(17.650612491485006,)
1348,(17.58379108838903,)
1379,(17.498354872648086,)
1397,(17.430539658896087,)
1432,(17.18489520038328,)
1490,(17.157425579032882,)
1508,(17.14373795968339,)
1556,(17.055102602089853,)
1624,(16.78084210432853,)
1864,(16.596213378323405,)
1998,(16.479160481351283,)
2042,(16.42076345452132,)
2087,(16.402102005118767,)
2151,(16.382724111776955,)
2153,(16.373042913757946,)
2154,(16.252858373515735,)
2224,(16.141405151713144,)
2242,(16.062801980695205,)
2275,(16.014821619946144,)
2422,(16.004299989565318,)
2434,(15.90384436837883,)
2442,(15.868177976817865,)
2466,(15.854497941170745,)
2481,(15.850992008799901,)
2504,(15.790983156987144,)
2514,(15.599010965220591,)
2617,(15.569675350734098,)
2750,(15.541368177429769,)
2860,(15.518948549236512,)
2911,(15.467101173181312,)
2950,(15.456956320197934,)
2997,(15.398202599933239,)
3023,(15.361556029367435,)
3055,(15.325496863941291,)
3149,(15.28897121608195,)
3177,(15.249998895747183,)
3239,(15.142080427712393,)
3260,(15.132213618290093,)
3275,(14.990197144621,)
3372,(14.958778443405807,)
3504,(14.917636826712108,)
3549,(14.813417278395944,)
3637,(14.79148262893692,)
3693,(14.755970463212387,)
3750,(14.703911339907878,)
3796,(14.632775403187647,)
3998,(14.595102854334336,)
4064,(14.471973902446063,)
4108,(14.425215005521656,)
4211,(14.411193798615514,)
4365,(14.387719653029716,)
4403,(14.35168137103622,)
4474,(14.327470917172112,)
4527,(14.27385858460272,)
