Evaluations,Fitness
1,2120091582
2,151387913702
16,7858230172312
60,753830785332
169,7217703050527
263,711515853135
482,71897222055
640,33193583730758
1046,329315258778
1182,32828502895223
1267,2982283192910
1298,18515185351
1780,17190299091153
1969,181799982303
2119,115297980928
2128,12192918591
2573,1352330959
2645,1221330509202992
2720,10977873732729512
3376,1089289987585
3493,102591930195775
3545,1012202031
3635,95592392807277
3841,82208152778918
4079,8332373892820103
4159,81388575582
4287,75729211882273
4352,8339770831372
4575,78827019557
4705,7108887021
4947,8821899339
5017,50898528330532
5068,281577873
5139,232589129325
5247,17929299950289
5254,130808272201
5348,1008537117128
5399,59931152955597
5426,5892888193975
5654,587298571701
5693,5872182287313
5779,57921971205508
5820,5713078509525
5979,575715751087
5986,57312739759299
6027,5992059008270
6088,5737731193715015
6114,570587133733
6237,5319150837781
6248,53131703980938
6311,52053770392
6341,51378801357515
6364,5019299101
6484,5018582839933
6563,559322023958
6658,55508787882825
6670,5558892370828
6674,55105352752
6687,5999093298508
6872,53998287092
6931,539115921
7013,53398911593123
7027,53830109038
7062,535702038701913
7250,53532555892010
7258,535570920893
7294,5321733885921
7415,528908923122121
7464,5237298982557
7522,5219782150889
7678,52119285509359
7683,51901875355178
7690,518385797235
7758,5155257917375325
7836,5153223
7857,5127787150150
7886,510010180032288
7954,50981957800089
8054,505735180
8234,50120995905
8243,50080205123811
8259,9785227505522
8293,9559935707059
8330,95070238203002
8348,92351772038
8359,92293972975813
8404,8773799813272
8442,879309809379
8483,837237551223
8587,8359182581855
8643,8037078591
8767,75328300585
8839,7113521851
8887,7117770209112
8953,70193138923108
9100,20370580127
9151,057138093135
9190,2927929382753
9221,1927783773
9248,52710375791
9327,5573997195
9363,5237755893385
9487,511958710890
9505,829839121325
9627,751912085753
9688,70972523795
9813,51001387117
9856,27212555059
9861,3991858721203
9916,3990002252030
9954,375033711901
9989,3553173103128
10015,313801095287
10069,3371908835295
10154,32175158978
10174,2987759513115
10222,287792792820
10263,27889752821
10282,255280178395
10284,22059709995280
10293,212058518017081
10305,197203999227
10324,1838710059
10449,120315275000
10731,09725291891
10736,081578885219
10782,073083875512
10807,07193152192501
10824,03390998811525
10912,398959910235
10986,3951723231871
11088,390850839103
11139,3895159053172
11220,38902725098351
11264,3872832907775
11333,38583058925223
11341,385585502023322
11349,3839131003272
11423,38321719500891
11435,381910328523279
11458,3812193231995
11483,3775322980011921
11613,3751770577
11745,3730033039737
11783,373207798825793
11792,37310982050831
11809,372798099139
11845,37251155035
11854,39219279103301
11904,3827932395
11963,32885558
11982,395188307209
12004,3158139875
12022,32728513020930
12148,3595932522702
12152,358129358539
12189,3517288153802
12448,3512770801757
12487,38995305908795
12529,37999710573
12580,37299182289
12676,3715558320091
12710,3212071358
12772,3578751150887
12779,3309379512198
12800,3158200202035
12926,30331115077919
12937,3397018151825
12940,339051555198189
12955,337550550323
13006,3330081591
13021,3357772188288
13053,3352795058
13100,33528187201181
13130,335195139301797
13143,335085385175575
13151,33755771132
13189,333199750805370
13190,3330730738275275
13293,33210838172912
13299,330359518550293
13360,3301299015319
13489,329213922510212
13507,3289009378575
13544,3283180839713
13575,328018733121
13603,321199803193
13657,320850909315197
13705,3201308780235
13717,3233381801828518
13896,3231221712205
13965,323001220215
13984,321128975995518
14153,320292559183298
14216,319793752232
14273,319190517732998
14279,317909859389818
14344,317127901218
14382,31507971509585
14544,318035870702
14598,313958702101
14665,31382203085328
14698,313800032352293
14707,312703878225
14743,31279933373737
14774,311797501953155
14840,3090319072330
14868,309218908720992
14909,309192771298
14923,3028318133951525
14956,302700085585893
