Evaluations,Fitness
1,359077293252279
2,35008130199593137
4,3325039013019
5,31052329292357
6,22899570088578
45,1895977770710
238,1522230091552
341,13391599799
397,1239323202198
471,1192520088573
495,11575325003335
548,10883918587
665,1028383809035
734,1025058502718375
764,9985119539801
771,903870301117
823,839828230579
885,787751253310223
905,788878598293397
919,7719271590528
959,77220887007523
966,7171711810998
995,7112315350237
1005,70119975205932
1020,99953113901
1045,37558509838
1160,31783079198
1165,02557058970297
1180,53115331158777175
1350,5232287332975
1368,5223719392179
1389,5170007110087
1426,5039187591009
1457,9958853920122
1459,90797833025
1531,397512809815
1533,31131393181
1536,351938388105
1592,3151885502001
1604,29822871992207
1651,35005977
1751,312231783227
1758,30258092153155
1826,315983205102992
1943,31237755772
1951,2907725800985
2097,283821383030537
2209,28379835378028
2217,27955279280
2249,275537839301333
2254,270703885850927
2261,27907973199515
2264,20319991218973
2268,251012150311855
2330,2503517578519
2368,253238789297398
2378,225050551187
2432,23813033293
2463,237851009032703
2481,227595512193583
2484,22017227
2553,218932380073583
2612,21155800110852888
2651,2022120972583
2786,198823572590398
2791,1909083500711085
2834,18193159799597233
2935,1797133797337783
2945,178105875829322
2959,1737977281289307
3010,1395892535
3059,1378599711308
3089,13037278095289
3094,11823579378232
3096,15718108872252
3129,155835371537212
3191,152385275953
3206,178738739701
3257,132172127
3301,121988382330117
3307,10719971815199
3391,139173859915575
3406,1391839172152853
3450,138329027025131
3452,1383972107338
3455,135257785257855
3466,1335885982215
3467,13081203178725
3487,12757700913282
3504,12732705893383
3536,12382239138955
3544,11973893328558
3554,1180029317705
3584,1175329322213018
3656,1199911375035
3658,1132991875792875
3662,1122550739578
3698,110253972773
3750,109207312335
3780,10901570725378917
3811,105533925799581
3821,105053729102880
3835,10351800335055
3838,1011217233001
3945,10013138177
3969,9981582973022
3976,9928713931079
4012,975332582788
4014,977039822812
4025,9219928589
4056,95338233219128
4098,901398788
4144,9338927889287
4160,932187929952
4172,9311938799892
4189,92322289897832
4201,9109202551918217
4210,90308288
4235,8978330325
4289,88591551853
4308,8735117559839
4324,8915571991982
4340,80307353189
4353,8532275515
4391,8001087830582
4400,8298273770312502
4503,829199895
4517,827155281010
4554,8205211733823
4572,81829537
4597,812191109319900
4611,8102023851235
4628,80171359293
4645,8053138138933
4667,7875817578329
4700,7872072277873
4712,781318058252923
4732,771750815795
4735,7775518895392
4777,710275289950035
4821,7512532517202
4872,78385231385
4891,728883707928053
4926,7279808852377
4933,735057139055133
4936,719770217083
5010,70811580871351
5022,7018385320213
5051,705885308927355
5054,9319918135105
5065,9220011309950
5071,90701783971702
5093,8883158850253
5119,8525950388839
5130,8188351529831
5173,731352819993729
5234,717887037289132
5263,029583921823
5348,51722950933
5413,508937075523
5436,501218532872
5461,7587925739
5497,51319782905
5520,02058859309
5542,37737580393
5562,2990912297
5648,29587127115009
5685,299710508228
5689,2225873025855
5695,1802202235335
5731,1511229558105
5742,188118588
5822,111087011528
5900,093595002215
5950,091778210715
5954,057800900222
5991,028057587191
6001,5897387908227
6055,58123595083
6091,58053988503199
6170,5772152759989955
6175,57718512029785
6190,57587399775297
6209,5751833172595
6210,57131593772
6215,58219879858
6262,58173207775
6271,523788782973
6355,5235155583739
6360,523095953981
6382,558979031318
