Evaluations,Fitness
1,(2074.5543491972335,)
2,(2.2425280549448936,)
10,(1.884834406838839,)
20,(0.5393299998796813,)
31,(0.2594520684598391,)
69,(-0.4789823081529497,)
104,(-0.7295972547139176,)
117,(-0.8446524840530861,)
179,(-0.868998154236729,)
192,(-0.9017818183265723,)
200,(-0.9700959021727262,)
240,(-1.0280409336330774,)
454,(-1.0308491389287264,)
475,(-1.031549554311062,)
675,(-1.0315530361604635,)
683,(-1.0315697847088596,)
707,(-1.031588529383123,)
730,(-1.03159247996533,)
807,(-1.0316095727763066,)
882,(-1.0316205851122067,)
964,(-1.031620806157422,)
975,(-1.0316283431723476,)
1006,(-1.0316283630422725,)
1146,(-1.0316284366635093,)
1200,(-1.0316284402506897,)
1229,(-1.0316284428512743,)
1246,(-1.0316284520663812,)
1320,(-1.0316284528763946,)
1330,(-1.0316284531267008,)
1365,(-1.0316284533685458,)
1405,(-1.0316284534468354,)
1439,(-1.031628453452935,)
1454,(-1.0316284534769768,)
1502,(-1.0316284534836104,)
1505,(-1.0316284534837954,)
1557,(-1.0316284534883644,)
1570,(-1.031628453488931,)
1582,(-1.0316284534898195,)
1658,(-1.0316284534898759,)
1867,(-1.031628453489877,)
1882,(-1.0316284534898772,)
2056,(-1.0316284534898774,)
