Evaluations,Fitness
1,19953913190298
2,199072511582907
4,1832215112231
7,18108189805257
17,17888020135801
19,1780037823181
22,15552859821103
26,150771390828
84,10727101853
86,9989980857517
106,953181397899255
110,89319320892
216,537312525020
361,918009102170
512,73031209273
569,190558702188027
688,003923575802
700,3877738151225
707,387507122215
714,357123505781
749,3323515289800187
882,3159585252598595
902,303332937195
905,3017150832872519
911,2925011981102
929,2872228132757
977,279399087725
979,2739127003220
1039,259209331511
1043,259781585138
1152,2318923553895755
1239,23183925017009
1254,2279530101132
1264,21791887083338952
1314,215020810802
1330,21528359527838
1351,210258115705903
1436,202719023893
1438,20307337983557
1439,18595079532781
1507,182987582732
1523,1800781523020115
1557,173787889713
1661,181825997593
1682,10859801807598
1727,1508055097532
1731,139529079382
1749,125858058918
1780,117183123511551
1826,10187252580959
1828,1575031733775317
1830,1585195031002
1849,1758137827032
1906,187293507009
1949,1572157528355301
1986,139805817001303
1997,1375815900
2032,13128737271509328
2046,1289839728281
2110,1253209589532293
2122,12515102359
2156,121278283181295
2205,115998015781505
2221,1157521133288
2234,1113023510021
2311,10828055897899
2329,1032175389131
2404,1020837393501818
2423,1019227275597
2451,100807033037007
2459,97208523309
2490,9527533050997
2557,922323779587
2629,8905205970315
2729,81521200808
2773,8915999332
2816,812531808571293
2838,83792720533789
2873,823239523723
2890,809232238877
2894,780788358178
2997,759017052155
3004,72031877982087
3065,9020085150928
3079,777913302
3086,5198310235
3235,528880209
3244,3810939373
3290,39789080201
3332,23713195319
3357,20507735
3368,105287725587
3378,0888573958720735
3411,02551301535
3421,5958353200228
3498,5828935992281
3513,553183523
3547,55757113712
3604,55193305353123
3674,5500957291255
3680,577391850597998
3687,51517977237022
3738,538527071311
3765,5323153909382
3862,5322977089231
3867,53175080219
3878,523287873789
3881,51950581887051
3956,512719507058
3991,5121250217982281
4027,508052251081
4040,50708331780979
4098,50277511397
4103,50009109021708
4144,503827515878712
4169,98912988353092
4219,95257920152905
4242,9177993938871
4293,889105511233
4376,8089821995
4390,788208590385
4395,75878337918995
4456,7171810575979
4556,531583785525
4589,329088071038
4633,1773003105
4655,51803059000092
4691,50039831895
4726,51919558809191
4789,502382022388125
4805,99131523912
4818,953097981
4838,8189713898785
4851,52023283818
4886,10550501073
4925,38213737521
4957,355751223293
4958,301808251772
4959,25502722055
5017,25253281808225
5034,22929305523
5101,097889518783079
5331,081795328859555
5355,0777823597055
5371,039325189319
5372,032008920351
5376,0298591593097
5424,39775851988099
5487,3952325118983
5527,3930339882201
5544,39093133302
5627,38891732038158
5664,3852371971382
5671,3818900807917135
5672,3791788570709
5687,37531808027998
5703,37099055389773
5744,37273122993023
5755,355039188572225
5797,38588820539
5830,3137703559955
5866,35980337851371
5893,359111933731377
5916,3570700882023
5921,352252971295875
5942,3500770909572
5948,355913899932988
5952,35539813579937
5960,353571915058389
5978,351157197858
5994,3925557852323
6008,3388332212
6033,39193972218
6137,380325518
6148,3823171035
6151,3252335725095
6154,32833871588
6167,31713523512039
6241,302378875871778
6253,33972028880
6254,3399320735715
6283,33907202732978
6291,337595593393
6329,3375271553007
6341,33502822253003
6352,333310089529395
6365,3331595988010759
6402,3327187213
6414,331835838073
6516,33111108008975
6544,3301283503737
6561,328997309078215
6570,328757889522
6601,328391293023
6620,32700858353518
6682,3275107398973
6691,325902879101757
6697,32525200318277
6726,323011213927908
6771,3209355019559
6781,3231538715093
6814,32057329991777
6930,31772383087
7029,3181703287195
7053,315105378338
7091,312355329382
7198,312522007873729
7219,312353072219537
7232,311288329032258
7250,31091353180757
7284,30987258308891
7292,30832931573305
7348,308015172039
7430,307927819283128
7461,307598039053
7480,30587398925893
7541,305837078973
7575,308870539257527
7582,302327091289
7593,301077228275
7606,30320930021307
7612,3021019829831
7662,3012530221837388
7674,300727252923
7686,29879791973913
7804,297003228
7817,2910895738
7892,295085012781017
7950,291289718
8007,29281357935
8110,292275938577
8113,292005701108
8136,29120079121705
8170,291378538599
8183,2907859987893
8186,289939271398
8251,2898373192332990
8253,28982585272083
8261,289380595127
8265,28901580073
8282,288583959151
8296,288080718321207
8318,287789989738735
8332,2877252079217
8367,287238551012
8379,287079319373713
8382,289221531797
8386,28897137891
8406,28317098297513
8428,28888525821
8513,2852193037315
8526,28238735157259
8530,28193279155
8540,28399889315
8547,28327870210
8578,28300228108538
8587,2821832882129
8612,28200770815835
8620,28139875775333
8640,27932907125323
8711,278708972953513
8732,278070970297577
8777,2773002753920823
8804,2770590005
8808,272078738391
8824,27399322970
8857,2738072581900
8895,27318318771023
8933,2725958053352309
8974,27179288530213
9058,271200155329585
9118,270335559331717
9143,2701101733378
9146,29592185712
9230,29170120727023
9259,2877855857583
9272,28577882032875
9292,2811003577
9298,27953890393
9337,278385522798
9339,271709799533
9347,27509299300712
9375,299001371
9383,25857331921087
9396,2523509223
9479,299792898357
9496,29300370057
9549,272212195553
9561,272123809138557
9589,25193511937
9624,23911017923808
9688,238293758158215
9722,2383352732202
9743,237905791012
9744,2377280807782777
9762,23312907808
9782,23118711975528
9834,22950193898225
9857,22800738231237
9890,228307858302
9909,22295117
9938,22181239751720
9943,2203779331835
9960,2108027323277
9961,21055258971887
10003,20953199895021
10013,208587810900527
10031,20779959521
10070,203881271222
10085,203230031379397
10120,2027852072557
10165,259775529903007
10215,25902979278101
10255,25901280101171
10295,25810737181157
10382,25805952585725
10384,25791312075
10441,257087802513
10514,25533837317129
10604,25397998797
10640,2532977053785
10642,25225981333285
10661,25217325329102
10662,2508799937827
10680,250298501532
10686,255088372195
10690,25531320832098
10706,2591513038325
10713,25830213811137
10750,2597180253
10752,25315191128
10775,2521833970121
10792,250152725753
10804,2537525251938
10852,25328990118339098
10880,253275591985287
10899,253098388559
10908,2530880915523
10927,2530122991272292
10936,2520877573
10953,25230557333
11027,25220789198729
11036,25211975059919
11043,2520778183178
11046,25205709138281
11047,2519935383878
11064,251822793851
11067,251518911573
11099,251120108897235
11186,250598229233817
11190,250522150550
11223,25080382338983
11225,2993821711795
11276,2993238729783
11298,298003913510182
11313,29538312188
11354,29092210981
11356,29372285522713
11404,29228500527931
11407,288710181007
11427,287171093913
11433,282981138829
11453,282197358823777
11479,2809271529030
11528,27709738789
11564,270179901570
11610,2709751122201
11629,298339713292007
11635,2903329187
11641,2790095055277
11671,251871058
11700,2212318805
11737,23353897792
11744,2327390703123
11771,2258057238079
11794,21372391287
11796,25817017295572
11824,2953330538055
11847,28229817597295
11854,2779813582825
11879,2187810128
11924,2357377172535
