Evaluations,Fitness
1,21.510135
2,21.475374
3,21.394179
20,21.353510
30,21.303130
49,21.283527
70,21.274130
105,21.263777
175,21.247106
191,21.231484
270,21.117845
601,21.056275
716,20.974136
723,20.969504
758,20.719332
946,20.633620
949,20.578175
1078,20.556850
1214,20.388244
1298,20.232451
1401,20.195456
1402,19.860724
1614,19.827120
2006,19.465837
2104,19.363888
2195,19.180212
2360,19.073913
2534,18.776663
2652,18.625209
3004,18.540357
3075,18.238992
3400,17.436033
4033,17.297575
4107,16.735828
4322,15.818716
4902,15.632480
5010,15.513846
5025,15.225020
5273,15.100590
5383,14.777713
5657,14.208415
5681,13.854406
6131,13.726459
6176,13.538355
6341,13.323920
6530,13.316377
6633,12.836745
6722,12.666519
6827,12.502314
6941,12.252310
6943,12.137211
6985,11.955063
7344,11.948159
7364,11.723087
7456,11.670320
7473,11.445569
7610,10.952584
7825,10.946474
8138,10.474112
8448,10.457725
8582,10.321184
8601,10.288425
8723,10.250098
8729,9.869648
8842,9.557698
9117,9.432438
9154,9.376138
9398,9.124816
9401,8.840614
9532,8.641709
9685,8.538448
9853,8.204559
10053,7.913432
10571,7.888620
10586,7.876083
10673,7.777117
10703,7.417501
10767,7.333029
10789,7.195903
11075,7.178722
11132,7.121008
11134,7.013338
11307,6.962989
11333,6.934732
11338,6.853293
11469,6.712490
11599,6.642935
11665,6.431340
11906,6.423599
11994,6.396229
12097,6.321559
12135,6.306578
12161,5.858371
12753,5.483074
13553,5.349227
13884,5.349171
13889,5.121778
14031,5.110162
14180,5.005070
14548,4.964429
14726,4.783534
14800,4.683524
14801,4.628558
