Evaluations,Fitness
1,6040518.982732
2,5272661.741547
4,5072278.026797
7,4573129.832259
15,4469226.489765
53,4328560.625761
196,4220983.796840
234,3890305.394369
304,3250437.897381
484,2855939.770430
646,2691152.634706
678,2661729.954125
741,1969383.442430
1058,1966159.629756
1161,1468681.814516
1778,1397712.950287
1801,1349033.570946
2144,1228047.503399
2229,1124043.382294
2248,1093288.987404
2354,1038754.157542
2666,970489.659996
2793,868677.542948
2893,796653.444279
2957,740979.189124
3092,645181.447844
3429,539968.623092
3468,504623.572495
3820,504270.395835
3970,493696.978451
4145,472446.993466
4188,454273.875255
4280,448858.511011
4302,438195.102990
4328,432498.556395
4507,418841.204239
4521,407981.455481
4560,334437.457832
4684,329579.135392
5059,290943.008777
5246,281436.186380
5258,276009.789172
5328,243065.721411
5775,212061.567362
5928,207399.738150
5987,203172.119345
6127,200118.214537
6184,197363.795654
6185,197289.154337
6206,193968.772782
6311,182929.757114
6387,174862.888800
6516,141131.336605
6742,133591.973331
7078,127379.338065
7162,114275.320489
7227,109259.452455
7475,102144.078379
7597,91292.591014
7749,85435.384458
7805,72376.920024
7978,69915.678302
7986,58532.127615
8340,53347.160108
8754,50691.482318
9089,48597.668691
9115,48041.007041
9185,47119.430767
9301,44462.614613
9325,40721.843638
9420,36268.498405
9741,35701.474837
9954,29684.459058
10007,24508.212484
10617,20912.336801
10638,20747.478514
10849,19353.707864
11132,19223.459939
11230,18618.315865
11410,16018.523154
11597,15764.489900
11624,15039.297851
11748,13485.773986
12069,13246.698951
12081,13077.069724
12129,12942.143866
12130,11053.296586
12403,10356.388013
12610,9849.054644
12666,9567.261994
12842,9420.698246
12975,8942.763496
12987,8194.626548
12992,8102.248428
13078,8051.318213
13218,7787.969260
13332,7435.489456
13505,7111.308096
13530,6965.689739
13534,6645.920283
13592,6615.300608
13687,6518.184094
13836,6252.836010
14067,6158.058559
14187,5737.963580
14278,5620.612634
14381,5554.367632
14452,5410.898691
14483,4814.010432
14558,4765.128236
14567,4603.859166
14608,4441.650072
14926,4335.420367
14957,4047.787506
