Evaluations,Fitness
1,688260561.9626453
198,672625725.8770764
205,653313380.5083572
289,535615888.5489744
531,517270069.58478427
592,505113961.1578648
616,452101953.6293745
621,363184831.0939058
821,230084261.59785032
1038,206845150.4629127
1209,199256342.13951525
1501,194875147.2428237
1507,176791747.2626031
1830,112762860.70380627
1847,85627700.61041649
2196,82211266.0423641
2295,68566315.21439849
2421,64318559.91186258
2736,59670860.901823334
2975,51412423.10751594
3367,44213042.073476665
3517,36807287.4235174
3688,33706245.203085236
3712,29448555.396578614
4048,24502391.983473398
4256,23760644.976952944
4358,22509551.183991026
4418,22391001.414729398
4435,20964987.882659335
4521,20085079.446463995
4653,19534137.969481025
4685,16635439.240273247
5162,16462229.969103942
5167,15433348.752053307
5183,13857989.972117715
5199,13334832.925523477
5527,13312486.411981726
5572,12783871.54296016
5620,11561390.389868172
5720,11514027.879527604
5853,11038548.836519508
5866,9057391.211834233
6109,8058851.629149332
6280,7694711.043540408
6312,6927800.745397159
6367,6920876.284116287
6401,6182186.662187764
6653,6137737.144636696
6805,5641653.484305883
6813,5130592.360481104
6949,5021034.883709877
7038,4026229.112568327
7240,3636555.979739977
7381,3632350.8813035875
7519,3177960.3951482605
7578,3150359.8232061253
7937,3125329.697240986
7940,2964314.159723499
8018,2963268.592114564
8102,2903162.8611953408
8124,2549576.6144505325
8239,2366687.8217224996
8325,2216645.663155815
8590,1989804.4043990984
8850,1988678.3712810134
8923,1783087.66161728
9094,1686413.417663747
9347,1648624.3106465195
9354,1612865.123679553
9610,1383932.6010579308
9662,1370943.3271485358
9856,1368520.6212879505
9951,1244235.2337021793
10389,1241141.7256384136
10438,1171766.4684952302
10513,1137300.9466149337
10536,1126813.9106019293
10763,1080402.2807618643
11076,1079520.6035393071
11093,1050008.9974033816
11102,1019301.8226336166
11104,1011669.6191268326
11336,886433.7281291006
11419,849093.7928380903
11760,708457.0349164491
11780,616277.1217278744
12050,607711.9932340254
12057,565297.3356886155
12246,471767.3013503538
12324,430711.0912731144
12375,425888.30418502644
12463,417582.1785264974
12641,385851.37244857795
12654,364145.3547755819
12696,350046.3659167495
13045,338129.208053652
13080,312823.5277622677
13177,290255.3730193223
13327,273167.15664113784
13484,248965.0325044609
13557,240351.75186547692
13585,231510.23409877295
13611,227073.6393838789
13691,221151.6822502714
13798,216534.8200161328
13940,197430.2534641748
14209,186620.96031809624
14224,185629.8182299638
14302,182100.48545512426
14337,172912.0204966612
14386,159674.97634016554
14544,158719.32911224585
14619,138282.47622299904
14988,133628.50920329127
