Evaluations,Fitness
1,391601916.0460064
3,360364259.95696414
4,343044496.93258786
5,218321866.72598088
303,215405164.57142535
354,181928432.72201306
423,151872801.05537364
635,146606493.58698818
636,143956065.4884857
731,123439434.39774193
771,118402504.2040337
846,102684580.8315033
914,101636736.11442788
964,97689521.02817942
1023,73858070.54750973
1169,71268107.60428882
1301,62314616.95138463
1393,60035991.02620088
1415,55005945.2080324
1420,46698903.021677785
1737,41368139.31447711
1796,39810719.364593685
1803,39452400.60084589
1809,38701717.48518703
1871,36742904.72327198
1913,35644940.5513038
2053,34621761.99897152
2088,31853544.44387846
2366,31142538.95079599
2396,30670849.721440088
2464,24743936.614622444
2793,23967721.957552828
2806,19761506.85745803
2873,16118078.207320217
2996,14188072.12732159
3393,13527242.322753327
3532,11860364.183340905
3536,10647602.331144247
3833,10334551.406058483
4010,9511161.552452883
4171,8703065.870650193
4255,8142344.469142923
4726,7928390.452336871
4952,7812418.2251003105
5013,6729015.056074363
5296,6653978.74052455
5310,6476809.92207273
5382,5846462.696340255
5641,5316298.7748457035
5820,5037721.619944146
5899,4796641.143714713
5925,4163286.263444754
6259,3638412.544252506
6660,3110741.612877118
7092,3106003.284701181
7106,2645181.35559292
7263,2605748.4144124165
7264,2441221.9628208536
7483,2307573.009781373
7670,2254818.819292914
7713,2179800.616521716
7866,2040354.6618063615
7946,1935792.4266738684
7996,1909154.1584472042
8154,1826597.008825918
8269,1764523.6998122244
8356,1676887.1892020123
8551,1639485.7725040733
8579,1635346.5503335907
8720,1590477.0405623931
8808,1543314.234634795
8818,1480751.2282503026
8846,1449681.5924876838
9083,1441874.5282318755
9108,1349056.5783625147
9206,1310094.9507914123
9346,1275357.066653584
9502,1243407.7064836684
9735,1209912.9281408077
9791,1185814.3685704672
9851,1159660.9365031894
10016,1116635.6109856674
10037,1083751.839294838
10078,1075277.082767734
10118,1074055.0619190328
10228,1071028.8044899583
10240,1027276.4238694896
10248,1021533.7346303009
10391,986078.225194833
10442,963908.7066432419
10477,918397.7152964612
10668,910758.3242114644
10757,907934.3321188013
10808,897662.6651567662
10825,888574.2033292571
10864,828213.3392279688
11212,823887.1753715321
11395,813033.878026531
11411,805404.9257118742
11430,774051.2116501704
11601,758501.4578981216
11756,731013.9946808099
11778,698079.3573155315
12022,644780.5548172196
12108,612911.882209692
12224,608842.5066473435
12357,598867.7601462421
12428,568742.8533675576
12574,567169.056518893
12582,551545.2990486163
12852,544190.6262582039
12858,531715.9763218826
12885,527671.080764842
12928,527132.3212705305
13038,525374.603523425
13039,513703.7939953201
13129,493855.4823422499
13139,491585.8468249281
13170,469131.93607243325
13249,462406.6750397345
13414,454250.82380073273
13417,452509.36910090974
13470,441753.8246820756
13476,423798.8482300168
13517,418649.9079755311
13568,410111.2132900066
13675,401857.67295242083
13755,401223.9299673148
13820,373477.4835353877
13825,358372.5081151807
13965,352694.4422678194
14004,320343.77099316375
14253,300723.6698104247
14572,292877.04825582716
14607,286312.477518239
14616,284579.2290388553
14671,279004.2691093339
14809,273443.06408966886
14942,263096.66551247233
