Evaluations,Fitness
1,-0.5777661984902785
3,-2.6115965387111957
13,-3.7153139577010412
171,-3.7591598380091185
208,-3.847963510709354
223,-3.85013263624306
304,-3.8544296223731416
512,-3.857210140111604
591,-3.8577337874301225
596,-3.857755328596808
609,-3.860593938329613
621,-3.8614333119303064
622,-3.8618486215221677
680,-3.8625080005063457
808,-3.8626782306348026
902,-3.86271860529053
977,-3.862732481484795
981,-3.862751016704996
1062,-3.8627737562247546
1248,-3.8627742722196667
1262,-3.8627769936379437
1284,-3.8627771981814325
1406,-3.862777583357354
1420,-3.862779205072557
1538,-3.86277947956943
1568,-3.86277968252779
1731,-3.862779773881105
1890,-3.8627797850528633
2006,-3.862779785310491
2101,-3.8627797860727817
2132,-3.862779786637894
2203,-3.8627797872670557
2260,-3.862779787299221
2300,-3.8627797873053273
2366,-3.8627797873170087
2478,-3.862779787330188
2763,-3.8627797873322365
3005,-3.8627797873323555
3026,-3.8627797873323644
3052,-3.862779787332435
3163,-3.8627797873324363
3195,-3.862779787332454
3218,-3.862779787332503
3227,-3.8627797873325385
3281,-3.862779787332559
3358,-3.8627797873326055
3379,-3.8627797873326157
3450,-3.862779787332624
3476,-3.8627797873326344
3502,-3.862779787332644
3595,-3.8627797873326513
3611,-3.862779787332652
3723,-3.8627797873326557
3741,-3.8627797873326593
3772,-3.862779787332662
3974,-3.8627797873326624
4148,-3.862779787332663
