Evaluations,Fitness
1,872407718.218073
3,809799141.347127
17,618007718.8912659
217,545299651.4536246
241,480716968.7423238
338,438524889.77203673
618,348948315.4445234
788,196085440.13607556
1067,167963911.7585779
1231,162644890.77924404
1313,148805929.00832137
1334,130613495.16585532
1502,85507194.0886349
1845,51877611.1809405
2496,45710543.06418037
2618,43583005.02932606
2681,39563094.950682774
2713,32505562.480108213
3111,25625880.819279924
3287,20427347.25756954
3752,17567176.018537905
3829,14555573.981228288
4334,13820898.079431327
4367,11559323.80923662
4376,11039606.346046463
4601,10430528.60061716
4848,9286301.013767453
4960,9242669.087753987
5152,8754804.97607154
5207,8080716.403368884
5349,7600846.965676677
5438,5820832.24412696
5596,5417207.0617742725
5634,5352656.944881259
5885,4864949.751933172
6016,4774608.762324091
6141,4329679.940126917
6178,4096078.1031988882
6272,3978049.592541957
6348,3162804.3066140614
6542,2975875.3108200496
6687,2971689.2742124945
6762,2858509.9843089287
6816,2519765.4586457326
7012,2515805.1163471336
7180,2482377.4622528153
7191,2314942.8422136037
7270,2093365.0233762376
7392,1923834.5421858174
7672,1873802.477545794
7891,1868908.9103346232
7920,1760146.300120389
8009,1722178.5290782482
8197,1712733.9619870002
8221,1711375.7514060745
8228,1524761.9331961188
8486,1356283.0765590426
8536,1218883.2803158998
8805,1152948.7203686475
8827,1054156.7285502169
9046,1049088.9517566494
9123,990598.007589224
9196,978091.4296272323
9321,942812.7358424742
9417,885038.0312577207
9422,718634.8599628318
9731,713435.489498781
9794,671166.7986191382
9861,649862.5373547149
10083,582457.1699406905
10227,580789.9538112239
10399,555713.4149437746
10446,546290.1032172885
10548,456471.7347690694
10677,417573.0094384862
10977,416695.0711032227
10999,385033.59503645595
11119,362576.09026528924
11246,353213.57121747936
11295,326163.2007786892
11414,308859.5347182375
11520,291218.92123786797
11610,279757.29095395125
11639,248039.71014378424
11814,243052.41810564147
11860,236007.8904570038
11918,211677.4048660703
12022,210182.8367450704
12160,204623.84823043604
12192,179857.6751748523
12275,156318.2760755288
12679,152452.97051162066
12719,117609.42698703973
12997,117076.30750431231
13298,113607.5320153704
13352,104690.57413049683
13436,93933.80788020871
13669,93568.7683658778
13805,91338.01373856186
13832,88529.72842341311
13861,76057.67567340413
14076,72625.76138091649
14091,72012.09555926298
14094,67437.6449364592
14563,66304.0559821369
14680,60217.96429105509
14760,56034.36695358518
14884,53273.31950568649
14928,51717.7949568585
