Evaluations,Fitness
1,831315469.1955594
3,643996982.0177248
45,454600353.12731355
510,406724411.3893049
522,330209483.56202143
567,266218488.03671625
737,203397863.07794622
1037,167582558.2773539
1142,154431667.7532843
1315,121278279.70642693
1363,96808683.2117192
1417,50386226.54351241
1802,48879472.97231741
1848,47701156.105774954
2032,44854739.69824019
2152,26968768.36623007
2741,24348186.90762623
2894,21860369.786404487
3110,19008114.751355782
3116,15107472.6847921
3264,11432969.182389783
3773,9656936.253882615
4049,8966981.558629842
4391,6890250.536319106
4714,6452381.273643212
4718,5922881.639670316
4904,5818811.106725192
5014,4813667.663967761
5231,2583799.2075233134
5880,2546441.1218229444
5971,2509403.234999144
6049,2486624.6949805003
6085,2370619.3277418134
6237,1594678.207742392
6651,1570870.4978950683
6677,1498962.9260447656
6900,1332027.9090961725
7018,1240629.782393418
7112,1124931.8609944172
7135,1101478.211916994
7230,1022622.1799885354
7401,1001871.1396212864
7438,635420.6032883243
7712,629826.371414706
7931,613889.5852977046
8058,600135.4817347367
8094,524841.5971596618
8138,465580.429363685
8221,459376.12471910566
8317,408308.93509020715
8321,376175.54498927935
8544,373242.2898152969
8571,352130.5296501839
8664,350120.3418188803
8801,335018.6420788071
8842,296606.7361565741
8930,276364.1146449298
9014,240581.06767817825
9441,238275.35101904522
9532,237985.94429320307
9546,236872.5889473552
9551,226895.1815130649
9575,200019.09077211077
9774,174870.11592638865
9805,161775.80793143949
9903,149163.75365757276
10010,122266.15932032415
10283,113342.59179310851
10438,109094.40493298857
10479,108045.09168718212
10538,82550.91805675208
11152,68236.1895219756
11165,66191.14658745028
11488,65763.44072874697
11611,64199.835642273785
11629,57728.008369899275
11747,51903.30284729698
12051,51541.63066345988
12115,50619.23044114562
12150,49129.983794129424
12256,48126.31504759194
12284,47146.558218668404
12290,45944.9515071421
12319,44725.41642743309
12347,43513.44096945426
12365,41510.38380832435
12383,40539.3740287009
12490,35948.488169831966
12577,35433.641870871084
12759,30152.370291011954
13129,27653.563583073217
13183,26265.484537337412
13282,25572.10709955192
13488,24950.939382267614
13545,24613.045525438425
13831,24166.887794723905
13852,22594.848786828818
13897,21996.893818688837
14039,20173.175335974087
14174,19462.47883217468
14190,18671.62961646742
14216,17445.497781476744
14436,16228.784004286086
14598,15780.020250711988
14648,15597.296982688878
14656,15571.253958618476
14736,15447.616871268165
14762,15365.228959263093
14768,15274.764076977886
14823,15218.799636373982
14866,14658.212319012979
14945,14359.300260138498
14968,13760.397158513746
