Evaluations,Fitness
1,1457.9152452318153
2,1393.3823448296612
8,1145.1516255385632
63,1112.921364415748
98,1058.8317892720684
291,1018.7052788480738
366,1002.263967106866
369,997.7440049609415
475,919.508932793691
547,911.327778194207
731,879.0387191541424
837,798.2044248632142
1423,796.6799797845713
1497,794.1502183049249
1503,785.0514827362204
1695,706.0602828824163
2231,699.1314765706311
3023,686.3600434131847
3141,667.0034842125086
3519,666.2409110676017
3849,629.9335882106402
4032,602.8736514703642
4531,576.8643885371954
8767,536.262567146791
9042,513.2690999850979
