Evaluations,Fitness
1,10902155.356352353
2,3598329.8901046435
4,1116319.0591712669
51,631547.5487752836
163,535628.4602601697
186,535233.9662697272
336,518839.2602516991
400,509640.26606397296
419,409296.29656705196
629,354071.68414328346
657,314624.913405245
880,296013.2117125609
919,252523.26291814286
1107,231423.9674882426
1362,225811.93239521614
1935,193551.43630206323
2595,189221.97495485903
3240,169498.0271474724
3535,163561.35602170049
3912,152476.4843401989
4008,132618.11384996737
4277,131311.63253461022
4728,108805.40992134828
5713,100872.92262450237
6743,95122.87871549439
7698,88115.52757195236
8187,87315.94187968913
8196,77465.85008208833
9181,76026.6421804712
9244,73908.42934138337
10637,67855.36572732846
11064,67158.26855249537
13333,65389.91006939603
13498,62728.87728177003
14389,57188.356699621894
