Evaluations,Fitness
1,1266.858669
39,1242.950406
202,1198.266444
271,1194.902163
378,1103.973085
474,1040.044712
686,1029.805458
860,1024.855098
863,970.280872
975,945.730313
1077,925.938643
1111,866.309602
1461,849.474122
1711,843.891707
1867,811.434486
1878,774.201639
2006,765.892199
2136,724.902535
2215,719.085336
2899,673.135858
3548,667.919540
3638,667.460299
4237,659.709465
4338,630.088541
4487,607.007795
5872,584.648979
7699,582.707626
7705,566.592051
8670,535.286602
9956,535.255940
10119,519.083098
10221,518.710672
10482,518.420154
10911,512.506233
12418,493.308722
