Evaluations,Fitness
1,12146030.062976
2,10813330.856759
3,10768567.736496
4,9144525.240246
5,8521894.589028
6,6061783.091013
187,6057586.237583
237,5814174.294069
310,4813131.204653
412,4310303.427980
960,3887059.156130
964,3713694.252471
996,2499496.624373
1630,2262769.135557
1741,2125853.524847
1821,1899568.410093
1991,1899034.281593
2160,1801967.226587
2230,1655406.219920
2346,1560397.855715
2517,1491138.927932
2808,1405605.251255
2855,1165107.437758
3116,1113843.250427
3434,994779.737299
3592,949014.741095
3623,918240.155060
3673,755276.617247
3958,607818.909312
4500,507692.139959
4508,424817.398393
4883,404896.897163
5264,378192.696806
5363,369556.354712
5396,333013.564747
5493,319449.538697
5516,312183.366661
5650,295348.679587
5678,276351.163229
5780,273788.604231
5985,261626.278892
6097,254985.427513
6136,224422.621040
6642,189815.775922
7011,183219.749284
7086,158878.797458
7152,150473.322593
7435,148392.958591
7459,141163.442585
7565,140280.138250
7724,134450.515590
7919,133296.420452
7956,132879.125804
7979,123539.980865
8366,118923.760099
8405,116947.076969
8475,114676.963308
8553,108425.286422
8674,107396.793380
8755,92610.265112
8856,85392.583652
9196,73351.997089
9739,67100.085251
9874,64051.660942
9946,56830.338760
10170,54529.321374
10231,54126.697691
10532,51063.954957
10705,47423.172754
11184,47007.569356
11294,45426.217308
11330,45213.753493
11337,43407.411461
11447,40316.833366
11738,38995.438953
12000,38836.436844
12068,35002.883028
12158,34064.430611
12258,33332.707137
12361,33190.550434
12594,32921.943162
12653,32069.330059
12699,30987.160684
12716,30899.169926
12772,30205.035759
12945,30166.793084
13017,29037.630379
13155,26862.639124
13175,26053.446881
13435,25630.450541
13453,25089.986436
13641,24358.811107
13653,21975.065351
13929,21264.402112
14025,18376.984795
14241,18293.127264
14406,18245.020306
14532,17541.509232
14545,16008.266244
14714,15939.529823
14871,15792.325820
14900,15018.237539
14909,14755.808721
