Evaluations,Fitness
1,1276.2354949350142
11,1225.5546825055399
142,1209.2849979163693
253,1187.4932566463308
262,1058.9594699066583
465,1007.2125551160268
547,988.1447068581157
610,974.0934123094694
841,894.6878861356431
868,866.4308775261286
974,841.2009011521817
1111,821.8591304028533
1208,804.0607542142077
1597,780.6225424471852
1647,772.8831916937783
1830,772.8420731271688
1865,726.5773416510266
2084,716.3393879733138
3112,666.8644075174801
3271,650.0224096261593
3846,605.9097277814765
4414,584.9863238213474
7824,552.5085874604814
10319,552.1481214757846
11690,537.5835315222866
