Evaluations,Fitness
1,213.97584090942172
4,33.98092236129618
16,29.297121273038407
18,1.4234904862979505
50,-0.8696087545458457
225,-1.0220181318407537
779,-1.0302852633810042
1225,-1.0314771408512062
1593,-1.0316028352533666
1909,-1.0316185118940364
2128,-1.0316196233199997
2280,-1.0316202762297606
2283,-1.0316233707691196
2351,-1.0316278894947593
2748,-1.0316280745696291
2775,-1.031628218678398
2890,-1.0316282225025757
3305,-1.0316284301404877
3599,-1.031628434025102
3628,-1.0316284510845495
3888,-1.0316284515669136
3993,-1.0316284534123321
4855,-1.0316284534887021
5106,-1.0316284534893798
5738,-1.0316284534895006
5917,-1.0316284534896565
6022,-1.0316284534898137
6221,-1.0316284534898763
6542,-1.0316284534898772
7665,-1.0316284534898774
