Evaluations,Fitness
1,21.021800
14,20.998575
20,20.922625
31,20.910311
32,20.642037
74,19.824300
101,19.707029
422,18.026209
651,17.957870
1131,17.681101
1966,17.435086
2301,17.290712
2379,17.127074
2435,16.382958
2586,15.980536
2774,15.611499
3651,15.255447
3951,14.769025
4151,13.816510
4501,13.496282
4801,13.365887
5074,13.197762
5651,13.011751
6166,12.829802
6441,12.086766
7896,12.004963
7932,11.739878
8396,11.443426
8420,11.403300
8870,11.385888
8888,11.284004
9038,11.054174
9401,10.554919
9651,10.475677
9824,10.452224
10185,10.186932
10196,10.181808
10985,10.168687
11246,10.085011
11282,9.910960
11596,9.839497
11975,9.522030
12325,9.397663
12732,9.376184
12825,9.282301
13032,9.235130
14038,9.179085
14138,9.059388
14520,8.944251
14574,8.914668
