Evaluations,Fitness
50,-3.578282
150,-3.591456
300,-3.648372
350,-3.656125
550,-3.819900
750,-3.839570
1100,-3.840994
1150,-3.851190
1450,-3.854582
1700,-3.862473
2600,-3.862670
3100,-3.862741
3700,-3.862759
4600,-3.862770
4800,-3.862776
5250,-3.862777
5750,-3.862779
5900,-3.862780
5950,-3.862781
6200,-3.862782
6300,-3.862782
6450,-3.862782
7050,-3.862782
7250,-3.862782
7450,-3.862782
7500,-3.862782
8850,-3.862782
9600,-3.862782
9950,-3.862782
11350,-3.862782
11750,-3.862782
11950,-3.862782
12800,-3.862782
13850,-3.862782
14100,-3.862782
14900,-3.862782
15000,-3.862782
