Evaluations,Fitness
50,743724.359801
100,448823.515958
500,372910.939791
800,279552.698464
1000,251966.404452
1250,242283.685571
1550,224728.729252
1850,196837.602119
2450,174081.715141
3350,173166.380142
4050,160807.550323
4250,157003.381595
4600,151582.621793
4900,140143.243542
5400,130787.320024
5850,128781.285752
6300,124499.372065
6700,123145.366089
6950,109148.117160
7750,108073.883562
8250,104773.922282
8650,104247.425348
9250,102543.539532
10600,100494.703187
10700,100273.719422
10850,95714.013505
11400,90603.850361
12750,78006.323829
14450,73833.619104
14650,73383.096838
