Evaluations,Fitness
50,11.725676
200,9.928554
250,6.055780
850,5.945604
900,3.620086
1300,2.070743
1350,1.070298
1850,1.067317
1950,0.998206
3200,0.998112
5150,0.998004
5300,0.998004
8050,0.998004
8150,0.998004
8350,0.998004
8450,0.998004
8500,0.998004
9100,0.998004
9600,0.998004
10350,0.998004
10400,0.998004
10900,0.998004
11050,0.998004
11250,0.998004
11600,0.998004
11800,0.998004
12750,0.998004
13200,0.998004
13300,0.998004
13650,0.998004
14350,0.998004
14650,0.998004
14800,0.998004
