Evaluations,Fitness
1,3684.872761
2,3510.316588
3,3406.044647
4,3390.746698
6,3221.672665
7,3176.185248
8,2902.485366
9,2499.006667
11,2354.292858
19,1798.183044
86,1668.669108
411,1506.923919
525,1463.941744
825,1287.910825
1137,1167.093313
1400,1090.272390
1823,1080.865351
2123,1080.771101
2421,1007.339838
2809,974.807297
3131,937.165840
3181,906.939213
3236,890.631581
3427,844.857359
3459,753.557256
3596,708.406207
3959,634.190979
5323,594.900519
6198,549.995105
6896,540.065847
7903,521.377225
7948,483.286387
8148,467.980596
9073,467.033500
9146,443.893484
9523,425.049124
9973,418.120760
10119,387.265551
10185,383.095097
10335,371.596119
10721,356.276010
10996,352.163795
11266,347.384358
11496,336.478096
11571,323.323893
11657,315.292807
11809,312.159432
11996,308.587014
12121,296.389551
12321,288.163644
12631,286.017474
12742,283.950026
12771,277.525033
13268,269.264182
13292,263.485390
13302,249.128067
13618,229.490360
14318,229.100585
14435,224.065529
14700,207.684992
14850,204.136872
