Evaluations,Fitness
1,2966719.214835
2,1301866.930487
6,615250.822797
26,482377.031442
351,431401.916465
571,357420.928759
906,352932.670250
921,316674.652156
1226,309975.261381
1526,248158.491053
2483,204914.539183
2933,161585.480434
2983,150789.859418
4176,147493.480168
4311,126290.166618
4811,119595.208349
5261,110682.274543
5792,104342.990715
7844,101965.896199
8042,98448.810068
8094,90410.795975
9138,77303.512960
9394,74373.912280
10428,67633.804817
12245,61368.570031
13111,60741.851401
14483,59351.428110
14733,56851.241516
14789,56554.845533
