Evaluations,Fitness
1,177418.878233
2,176134.028823
11,165722.342198
17,158824.336994
50,154125.951643
122,117805.570298
133,71778.706880
283,51612.936756
1153,47365.813014
1374,37146.574653
1513,32410.312176
1732,27355.376895
1932,24696.115936
2313,18315.544218
3334,16167.217370
3613,12724.125389
4013,11683.490340
4622,8485.160440
5363,8364.681014
5572,8035.079922
5673,7656.321957
6172,7291.178767
6884,6977.089519
7000,6303.306272
7377,5457.683197
8582,5271.877322
8932,4803.786736
9095,4058.390621
9795,3764.121666
10415,3742.314308
10834,3637.301418
11434,3508.348650
12032,3454.365526
12283,3406.464018
12751,3336.542223
12984,3219.845450
13534,3206.030953
13923,3156.338360
13931,2850.871991
13981,2782.943577
14031,2683.983327
