Evaluations,Fitness
50,4512922.758849
100,2376316.184279
250,1946146.955302
400,1706823.373365
1650,1071894.539339
1800,788886.099973
2100,586399.922971
2200,548246.555047
3050,384563.679382
3100,325535.613550
3500,304612.618300
3900,274961.913610
4650,257868.871797
5450,225326.945196
5550,144522.861153
6600,99909.787429
7500,95173.605946
8150,90917.862725
8700,71678.482764
10150,68720.251865
10500,65422.663324
10750,48908.468399
11250,45818.510362
11650,42039.092423
12300,39762.891220
12600,38207.921550
13000,34559.345406
13800,32822.846083
14250,32180.766917
14350,29208.194727
14400,29003.458030
