Evaluations,Fitness
1,21.225485
2,21.222938
3,21.172990
8,21.101862
9,21.087136
27,20.971068
77,20.959986
108,20.845229
141,20.834637
172,20.748167
242,20.624513
733,20.613542
783,19.976681
1300,19.834286
1580,19.691674
1609,19.218256
2074,18.596539
2093,17.854455
2968,17.552661
3151,17.292881
3160,17.266968
3250,16.453105
3470,16.359304
3788,16.265031
3820,15.782987
3953,15.561418
4072,15.538826
4236,15.259862
4387,15.259000
4426,15.250356
4533,14.437899
4967,14.395344
5091,14.379253
5105,14.151464
5125,14.044563
5166,13.906146
5480,13.510435
5486,13.465001
5566,13.403785
5625,13.239103
5745,13.134913
5897,13.056800
5943,12.940606
6045,12.893541
6102,12.846373
6103,12.019590
6355,11.761827
6693,11.610202
6824,10.628464
7318,10.129898
7782,10.023579
7842,9.865470
7939,9.837395
8171,9.661968
8375,9.617211
8442,9.529252
8496,9.281366
8529,9.123170
8798,9.044659
8860,9.028286
9196,8.945248
9376,8.825278
9414,8.750294
9495,8.674222
9649,8.468597
9718,8.423947
9797,8.208408
9896,8.041431
9938,7.887617
10043,7.823654
10524,7.821096
10799,7.793983
10808,7.769494
10815,7.650874
10923,7.554041
10940,7.523071
10973,7.518880
11038,7.260352
11095,6.853058
11748,6.748067
11906,6.413990
12272,6.412586
12279,6.412353
12408,6.250228
12679,6.177296
12686,6.161529
12858,6.144670
12901,6.083157
13046,5.999453
13123,5.893798
13521,5.861551
13539,5.686723
13580,5.553009
13885,5.486128
13927,5.380782
14399,5.344067
14427,5.266880
14569,5.215759
14919,5.132817
