Evaluations,Fitness
1,20.720055
2,2.426025
130,0.745282
213,0.460576
255,0.406253
397,0.404369
506,0.403443
556,0.401406
694,0.398855
807,0.398100
1024,0.398069
1037,0.397980
1049,0.397953
1099,0.397919
1114,0.397901
1257,0.397892
1334,0.397888
1455,0.397888
1494,0.397887
1799,0.397887
1854,0.397887
1991,0.397887
1999,0.397887
2008,0.397887
2042,0.397887
2071,0.397887
2085,0.397887
2288,0.397887
2314,0.397887
2353,0.397887
2363,0.397887
2430,0.397887
2607,0.397887
3026,0.397887
3041,0.397887
