Evaluations,Fitness
1,-0.000000
4,-3.676770
298,-3.751789
526,-3.758997
530,-3.789771
570,-3.813388
614,-3.841673
700,-3.844251
777,-3.846206
814,-3.859195
959,-3.862001
1029,-3.862400
1093,-3.862541
1136,-3.862608
1297,-3.862769
1401,-3.862776
1489,-3.862777
1515,-3.862777
1643,-3.862781
1680,-3.862781
1726,-3.862781
1767,-3.862781
1835,-3.862781
1917,-3.862782
1932,-3.862782
1982,-3.862782
2073,-3.862782
2240,-3.862782
2388,-3.862782
2416,-3.862782
2457,-3.862782
2472,-3.862782
2673,-3.862782
2724,-3.862782
2744,-3.862782
2825,-3.862782
2958,-3.862782
2990,-3.862782
3094,-3.862782
3096,-3.862782
3102,-3.862782
3281,-3.862782
3316,-3.862782
3368,-3.862782
3371,-3.862782
3922,-3.862782
4076,-3.862782
4180,-3.862782
4200,-3.862782
4269,-3.862782
4690,-3.862782
6006,-3.862782
