Evaluations,Fitness
1,21.393525
4,21.382659
5,21.310736
10,21.305634
18,21.074879
305,20.914616
429,20.874618
445,20.758277
455,20.686772
831,20.577226
971,20.444381
1010,20.434318
1032,20.432531
1305,20.372263
1353,20.341311
1381,20.236595
1421,19.911772
1637,19.807839
1750,19.318927
2058,19.023452
2208,19.008846
2275,18.837198
2391,18.712500
2423,18.631950
2428,18.231186
2696,17.515357
2943,17.139097
3026,16.068676
3527,15.884194
3621,15.828127
3759,15.562769
4109,15.558956
4110,15.409553
4236,15.400040
4290,15.253523
4412,14.851651
4417,14.348354
4847,14.136943
4884,13.807313
5012,13.609460
5145,13.314501
5289,13.246339
5407,12.934808
5526,12.521508
5910,12.469196
5919,11.854838
6275,11.756440
6429,11.456098
6442,11.363690
6731,11.313683
6835,11.260865
6864,11.204739
6999,11.163339
7010,10.563421
7451,10.341895
7491,10.181336
7577,9.985108
7665,9.917090
7742,9.683855
7879,9.665387
8029,9.456105
8216,9.391574
8236,9.328130
8327,9.190608
8479,8.679292
8515,8.506842
8818,8.502339
8957,8.475285
8998,8.258214
9036,8.152169
9162,8.141777
9268,7.970666
9537,7.675869
9655,7.624757
9783,7.603594
9917,7.401616
10133,7.303786
10382,7.236074
10413,7.049995
10712,6.891673
10797,6.705935
10943,6.704530
10971,6.630956
11026,6.534566
11038,6.502338
11096,6.487606
11264,6.485434
11294,6.195553
11628,6.143995
11781,6.142552
11788,5.864152
12027,5.769397
12174,5.688412
12266,5.652306
12558,5.506204
12646,5.340648
12689,5.297919
12807,5.177362
13086,5.154397
13179,5.133266
13266,4.963247
13513,4.962236
13721,4.899004
13821,4.855248
14002,4.832317
14099,4.831833
14118,4.763853
14190,4.748615
14265,4.660591
14449,4.639284
14498,4.608948
14534,4.558051
14940,4.517558
14974,4.470048
