Evaluations,Fitness
1,3649.612197
2,3576.266842
4,2406.240887
33,2402.531071
37,2326.595362
98,2304.439437
132,2151.838946
169,2067.602403
243,2010.467338
254,1835.617981
281,1487.183122
416,1365.301062
652,1177.084660
785,1125.703535
839,1037.198160
987,1026.478900
1192,1010.424380
1199,948.250879
1240,776.703204
1573,765.630735
1680,742.479829
1692,734.754169
1786,660.733713
1867,617.911389
1896,589.201661
1901,570.595143
2145,513.798844
2195,499.149831
2325,496.774503
2355,447.714233
2425,442.269484
2517,422.719645
2572,418.393441
2576,394.515490
2579,361.136526
2758,309.754386
2976,285.585312
2998,262.261789
3164,255.922317
3255,215.629108
3679,210.977620
3689,188.810380
3824,174.897873
3990,173.327136
4031,148.592647
4201,145.952797
4588,136.726224
4609,123.522240
5037,109.134679
5046,104.590541
5111,104.015496
5179,84.438268
5851,82.292950
5944,67.310080
6333,59.382622
6921,58.371320
7047,57.649041
7116,56.745093
7139,56.657390
7206,53.725360
7212,51.238640
7375,50.133259
7505,49.198303
7533,47.283848
7594,46.404254
7663,46.270601
7708,42.484070
7752,41.885420
7795,39.793785
7879,39.162495
8002,35.724272
8163,33.308207
8255,31.239749
8672,31.182967
8763,31.158045
8913,30.653199
8942,30.385442
8957,29.062241
9001,28.461748
9202,28.440420
9214,27.591339
9407,27.392572
9513,25.388434
9623,24.033300
9812,24.028413
9848,23.678319
9856,23.080931
10113,22.936721
10188,21.117350
10313,20.569613
10361,19.909297
10513,19.711827
10547,19.211176
10676,18.313755
10699,17.602624
10964,16.932812
11123,15.472495
11263,13.456947
11531,12.920031
11618,11.020166
11831,9.841885
12036,9.558995
12038,9.461549
12144,8.847845
12388,8.520082
12581,8.354924
12653,8.061025
12669,7.707222
12789,7.241802
12890,7.167665
12920,6.959922
13115,6.892567
13193,6.718306
13278,6.371719
13355,6.308316
13359,6.226397
13398,5.654521
13641,5.344214
13750,5.336049
13789,5.081830
13841,4.870465
13993,4.853186
14030,4.563265
14050,4.301600
14220,4.208789
14274,4.104402
14284,4.042360
14285,4.024944
14385,3.845512
14397,3.737265
14593,3.144749
