Evaluations,Fitness
1,4451192.964188
4,2861222.365048
6,1204949.852813
14,870362.670762
47,841184.208894
145,824878.507694
148,743074.018438
165,514018.440237
279,477027.697773
524,465899.556713
589,439308.144678
640,363243.608838
867,342559.802433
1245,321235.768711
1358,317228.837738
1367,301660.487904
1451,261427.120923
1850,233360.652315
2410,195959.684194
2872,182389.996943
4043,180878.555245
4507,170483.127099
4550,143309.584920
5610,125184.610472
5848,115204.787806
5938,113528.126337
6868,105290.700042
7860,92865.202630
9045,84242.269933
10320,70624.923166
12634,70010.146296
13340,63520.243603
14671,61811.460997
14863,49691.826468
