Evaluations,Fitness
1,117.667639
2,37.103148
28,10.581918
78,8.927196
239,3.554813
574,3.471399
662,3.146047
741,3.083569
780,3.075321
787,3.043186
882,3.005870
974,3.005110
1102,3.000264
1437,3.000212
1438,3.000066
1577,3.000053
1587,3.000013
1744,3.000006
1778,3.000005
1790,3.000003
1813,3.000002
1852,3.000001
1989,3.000001
2025,3.000000
2114,3.000000
2155,3.000000
2187,3.000000
2223,3.000000
2249,3.000000
2334,3.000000
2572,3.000000
2594,3.000000
2606,3.000000
2629,3.000000
2648,3.000000
2729,3.000000
2749,3.000000
2753,3.000000
2767,3.000000
2816,3.000000
2901,3.000000
2979,3.000000
3126,3.000000
3199,3.000000
3261,3.000000
3262,3.000000
3265,3.000000
3658,3.000000
3686,3.000000
3719,3.000000
3784,3.000000
3865,3.000000
3890,3.000000
3919,3.000000
4149,3.000000
4220,3.000000
4625,3.000000
5574,3.000000
5708,3.000000
5716,3.000000
