Evaluations,Fitness
1,175099104.172483
42,152770388.686596
48,148735010.725875
298,127358003.439152
334,120596281.786503
335,117588854.347946
406,78155816.188404
1077,73072949.098950
1121,62123691.403659
1473,61753238.864488
1592,61683989.246447
1604,46445389.778704
1759,38719697.654206
1837,38433535.421707
2025,38264352.728268
2220,35141664.869757
2529,30020443.104272
2639,28189849.853231
2737,24666831.429255
3215,22430939.694474
3427,21434676.529773
3477,21310556.879259
3555,20531133.754047
3607,19931061.572143
3724,19395115.010932
3878,19286741.371543
3923,18766090.573731
3950,18109413.168919
3979,16190289.198955
4144,15424694.083338
4178,15405276.668721
4265,15023826.788684
4312,14466731.159560
4395,13697830.536612
4402,12201480.923494
4525,11588931.963229
4571,11358116.797298
4618,11291858.837561
4773,7981182.464087
5270,7866701.431266
5457,7345990.001299
5480,6676807.139086
5648,6326718.923973
5791,5276834.291167
6216,5022054.276931
6409,4289790.424402
6910,3763180.988962
7181,3635068.688463
7268,3355351.739787
7379,3321285.441144
7455,3084388.819622
7913,3061347.484360
7928,2434769.374203
8146,2414965.725577
8410,1981283.511763
8479,1925611.479574
8793,1904277.178948
8811,1893211.295410
8982,1877794.085098
9042,1844138.920011
9074,1836948.126039
9121,1824763.065022
9212,1718138.009649
9360,1678291.940226
9481,1584460.555055
9489,1496784.167911
9661,1489531.297913
9775,1460940.659577
10095,1400212.255566
10220,1337151.090000
10250,1286867.557861
10302,1208313.110517
10317,1159167.264590
10616,1131587.355581
10775,1020409.571741
11041,951681.985487
11143,888885.631980
11259,827310.131645
11393,796324.000727
11771,703352.481743
11797,699946.346459
12001,611837.305765
12312,609176.959495
12361,551425.982916
12380,543333.363803
12468,535966.467331
12541,476649.450402
12615,470249.917515
12626,460386.133396
12802,448582.502449
12906,419018.941015
12968,416528.682839
13527,409362.210532
13569,408147.548132
13585,404993.176618
13600,399403.704254
13602,370998.148498
13660,352177.871553
13741,343822.249248
13942,328778.401635
14126,319235.451313
14159,269788.574755
14287,265869.371392
14513,248206.871787
14667,238306.860046
14745,200553.475422
14996,198346.114217
