Evaluations,Fitness
1,21.396826
3,21.271320
27,21.258713
50,21.032950
306,21.001536
349,20.597193
971,20.414488
973,20.250047
1225,20.105203
1242,20.029627
1319,19.858023
1434,19.631167
1720,19.590976
1903,19.095450
2052,18.767555
2550,18.673689
2686,18.578246
2719,17.969498
2868,17.448957
2882,17.297743
3282,17.076726
3370,16.769624
3626,16.665859
3744,16.622725
3774,16.061679
4111,15.529019
4501,14.738637
5100,14.587719
5348,14.382381
5459,14.277578
5463,14.166579
5574,14.009424
5846,13.370212
6067,13.164187
6214,13.081620
6366,13.041389
6390,12.739752
6522,12.615932
6618,12.029168
6923,11.941611
7019,11.792650
7114,11.567898
7411,11.542589
7431,11.460576
7472,11.395626
7491,11.349738
7532,11.302085
7681,11.277638
7682,11.076630
7686,10.706055
7702,10.391761
8117,10.189991
8329,10.156025
8363,9.287218
8571,9.122928
8590,8.988147
8946,8.899540
9313,8.639130
9703,8.443374
9830,8.293445
9857,8.259217
9864,8.105833
10155,8.101161
10427,7.250779
10848,6.885978
11175,6.876255
11305,6.592441
11418,6.488110
11525,6.326354
11635,6.285791
11688,5.967649
11991,5.675061
12379,5.642176
12417,5.537810
12945,5.514659
12956,5.407862
13101,5.276993
13253,5.162666
13310,5.123653
13574,5.031340
13661,4.859150
13761,4.798935
13925,4.755107
14125,4.711648
14159,4.540984
14603,4.453663
