Evaluations,Fitness
1,3635.750818
2,3089.135823
4,2529.030748
7,2511.941257
13,2401.143401
24,2189.836631
105,1933.574583
331,1766.818403
386,1591.116336
564,1572.845919
577,1493.309290
669,1448.456349
731,1242.320703
912,1240.892569
967,1190.067387
1109,1138.080403
1170,939.598394
1207,893.376960
1437,874.367830
1553,680.551692
1873,676.610611
2053,675.968415
2101,591.744969
2326,583.990996
2405,535.857790
2564,491.130004
2777,488.258617
2816,361.977433
3713,361.461437
3785,323.453194
3800,320.981733
3871,235.208796
4055,231.298627
4362,132.939450
4861,114.160878
5103,111.953449
5107,111.084747
5316,100.300495
5589,98.351439
5844,95.825746
5855,91.039675
6104,86.666924
6121,78.464031
6320,77.164951
6568,75.702201
6570,72.196976
6610,68.230492
6741,65.965860
6886,62.828355
6902,60.784061
7133,60.108615
7179,58.810819
7194,55.499736
7244,53.671529
7306,52.143017
7542,50.982644
7562,50.036704
7859,42.112715
8083,41.656386
8145,41.051052
8194,39.868495
8226,37.725535
8263,35.999466
8440,34.576438
8446,34.480716
8534,33.693737
8575,32.048083
8735,28.408765
8855,28.402003
8982,25.509040
9099,25.060581
9311,22.777974
9382,22.319236
9532,21.982685
9642,21.976033
9651,19.809687
9705,19.755853
9945,18.824126
9967,17.765413
9980,17.594778
10010,14.562456
10410,13.227440
10844,12.607702
10955,11.039902
11019,10.356294
11309,9.438014
11442,8.440236
11757,8.152302
11885,7.862944
12157,7.527189
12238,6.988047
12311,6.770813
12407,6.592767
12456,6.477413
12600,6.099228
12604,5.805322
12726,5.502051
12735,5.370566
13178,4.976710
13440,4.306333
13754,4.129544
13959,4.047809
14129,3.572343
14436,3.411053
14599,3.316113
14802,3.122117
14893,3.067072
