Evaluations,Fitness
1,12502045.932066
2,9801871.928383
7,9637469.079288
11,7789357.805856
22,6624750.170046
82,6510469.838781
136,6354184.596080
208,5854709.662687
367,5082756.205932
407,4426775.593326
849,4142351.737482
853,3473164.307940
1219,3214562.732930
1245,3118592.778155
1363,3055685.257046
1427,3014592.443679
1468,2828753.576831
1565,2758030.775260
1682,2056469.726398
1882,2030695.141647
1923,1899892.373518
1965,1834838.154162
2037,1806515.851160
2162,1573216.393872
2406,1452056.411898
2559,1384569.383317
2793,1226091.592784
2910,874636.263705
3291,822513.669324
3525,706339.013023
3551,648730.363721
3946,617007.508984
4076,610562.306266
4094,536096.429274
4485,533675.894307
4549,529177.260307
4562,517845.804437
4591,477224.199348
4791,462715.330032
4908,452583.399911
4914,418648.851888
5177,398923.546115
5306,363245.959738
5590,355291.523564
5662,326899.205548
5685,254232.483549
6195,228661.740637
6290,220846.034469
6671,209723.691235
6813,180138.353932
7014,172504.827187
7235,162950.633172
7384,152425.240738
7616,147085.406118
7619,143060.205879
7773,122268.901206
8110,108191.275798
8253,103700.210270
8417,94540.457805
8561,89475.296924
8645,73323.140829
9065,68998.173516
9126,65742.385638
9264,62027.890594
9359,53021.137023
9675,52247.090533
9801,51946.656783
10109,47770.262557
10117,47455.496623
10282,46556.976868
10306,45839.711727
10377,39963.305008
10574,35959.002662
10899,32955.515453
10948,32768.617907
11010,32567.842563
11058,31684.872379
11138,31585.635914
11159,28992.542025
11240,27245.198543
11457,26728.819017
11608,22253.094162
11943,20932.289856
12160,20548.863338
12443,20305.556588
12453,19927.700073
12561,18994.438773
12732,17166.053287
13010,16273.562943
13186,16066.937650
13291,15815.544529
13328,14546.328137
13492,13934.260112
13849,13087.260196
13884,13039.735942
13972,12534.685388
14055,12439.527048
14282,12053.882049
14300,11279.684328
14920,10555.628886
