Evaluations,Fitness
1,168542.992925
4,165797.186471
24,156144.466384
38,143896.582620
40,137428.247057
324,126473.996387
461,109009.682086
646,108940.716485
828,101338.081014
895,72015.480060
1142,65667.007794
1237,57064.914823
1919,53062.388053
2092,42179.217278
2144,40156.295361
2609,39613.879288
2629,39097.618612
2657,31806.448234
2802,30542.022395
3004,30439.227185
3039,27752.329143
3054,25115.847174
3674,23692.876366
3816,19869.894309
4021,19325.926115
4406,17780.158551
4655,17088.336504
4762,16653.176552
4765,16533.424699
4893,16437.117736
4928,15695.412782
4945,15293.881051
5019,14041.952211
5129,13602.603464
5205,12598.093769
5460,11806.894210
5633,11209.484737
5760,10093.392333
5782,9228.916580
5962,8040.359458
6187,7804.265098
6353,7349.326125
6405,4963.570732
6820,4457.514786
7301,4405.801570
7429,4229.951694
7592,4200.352247
7622,3974.569016
7688,3956.130658
7715,3780.702037
7911,3654.985997
8061,3297.717273
8260,3266.145496
8331,3123.710852
8506,2778.696196
8801,2555.499126
8912,2506.056457
9239,2376.766858
9345,2374.077897
9398,2211.742781
9660,2031.889549
9753,1992.766869
9952,1914.941970
9976,1881.899974
9982,1790.817996
10041,1751.245468
10183,1663.351942
10274,1459.684489
10507,1402.352839
10560,1268.546295
10688,1237.243058
10904,1187.157130
11002,1182.834243
11076,1124.164072
11140,1112.344987
11146,1025.076631
11635,994.292662
11740,961.442260
11747,959.905977
11787,892.284974
11812,807.344069
12052,757.451762
12299,710.505994
12437,679.832642
12453,663.453119
12503,576.007182
12651,556.367075
13163,549.935036
13379,544.877837
13417,528.790566
13462,518.148491
13697,508.952367
13727,482.917159
13820,399.504350
14063,373.323699
14122,352.655724
14419,339.114567
14505,335.888416
14595,331.029711
14690,327.427792
14692,308.306115
14735,263.486643
14963,225.858609
