Evaluations,Fitness
1,5039252.096811
3,4994609.149260
24,4976362.518564
33,4804495.445544
133,4367178.561895
183,4103198.378263
579,4042416.296462
635,3357402.286809
765,3145752.889654
796,2653559.598523
1057,2635825.600258
1119,2139461.335246
1288,2096944.517041
1459,2066848.784417
1483,1913864.370797
1522,1753459.065863
1666,1653774.152079
1701,985867.877493
2233,950554.619329
2334,914566.991113
2499,887140.820864
2517,784969.338802
2942,769971.668156
2952,750286.811467
2954,692237.599221
3340,572288.104269
3508,504811.798806
3813,459961.415095
4081,411405.100229
4086,404958.590491
4357,382902.198038
4405,373213.879364
4524,346152.162913
4729,338234.914331
4771,251378.335579
4901,249609.897431
5213,239481.347278
5455,237616.185420
5603,233951.045728
5666,233569.139985
5705,223883.603100
5796,201185.226554
5872,185024.458974
6211,175352.376149
6253,158764.822475
6338,153182.134125
6455,147661.761748
6868,132912.923026
6922,132557.788351
6948,131592.447027
6994,115129.829823
7106,110960.969178
7359,109463.746856
7366,106902.324447
7414,91729.306204
7790,91728.359228
7873,89645.981121
7976,89542.005496
7984,75644.391738
8315,74072.673901
8329,65183.691774
8476,58402.602153
8642,54928.608327
8771,52492.486258
8780,50607.085778
8873,50154.185341
9025,49928.011047
9105,48813.568661
9320,45476.177462
9339,42806.101044
9557,41514.872754
9671,38506.569886
9827,35466.412094
10077,34405.784443
10123,34073.341637
10141,32572.297119
10422,28360.761014
10652,27918.179869
10707,27169.201033
10847,25917.486666
11015,23483.609483
11304,20676.857423
11635,20144.155342
11663,19850.280643
11861,19093.047612
11872,18663.958195
11914,17975.865106
11988,17485.078447
12009,17259.564590
12064,17116.261053
12080,15082.066889
12464,12929.213409
13176,12562.583792
13183,11918.777407
13373,11873.038063
13394,11016.097740
13527,10824.410805
13760,8821.484766
14070,8556.024191
14196,8140.527070
14366,7334.187861
14419,6593.076487
