"Evaluations","Fitness"
1,-0.419595003057736
2,-0.900706255226105
6,-2.32342386264919
16,-3.04707619220741
18,-3.20886700910048
51,-3.51202581942429
397,-3.78574583806816
547,-3.84625125147675
1119,-3.8480630674199
1139,-3.85278421001654
1569,-3.8538428094584
1878,-3.86050200603016
2187,-3.86204638006155
3676,-3.8622113785221
4110,-3.86226441629793
4126,-3.86251445443107
4138,-3.86263646992532
4263,-3.86265749495477
4276,-3.86275132197343
5013,-3.86276498863692
5452,-3.86277415707209
5779,-3.86277609137728
6357,-3.86277610375395
6388,-3.86277704177233
6393,-3.86277884917139
6993,-3.86277901330656
7146,-3.86277942623041
7254,-3.86277947145184
7265,-3.86277956775356
7404,-3.86277957302135
7411,-3.86277975460461
7858,-3.86277975769516
8604,-3.86277976334757
8798,-3.86277977665039
9054,-3.86277977881387
9211,-3.86277978014738
9681,-3.86277978432766
9685,-3.86277978508833
9823,-3.86277978527173
10143,-3.86277978702487
10450,-3.86277978721695
10576,-3.86277978725479
11323,-3.8627797872773
11457,-3.86277978727989
11473,-3.86277978731879
12522,-3.86277978732151
12665,-3.86277978732687
12832,-3.86277978733138
13424,-3.86277978733143
13432,-3.86277978733211
13857,-3.86277978733261
