"Evaluations","Fitness"
1,21.5927970264265
2,21.4642373599001
6,21.3688852096505
7,21.3416773714173
25,21.2805854969251
306,21.2612702047623
318,21.2286116231197
476,21.1251306755171
1075,21.1140446152187
1120,21.0605673033965
2156,20.806102373861
2756,20.6218787678305
8021,20.5749089290215
8287,20.3627408330719
10852,20.3365930736515
10875,20.1646258318257
10983,20.0299158702419
11407,19.9684418611981
11907,19.9628914443043
13274,19.9073997827105
13874,19.4171603009086
13974,19.3378486956163
