"Evaluations","Fitness"
1,554.532676549513
2,337.851286612101
5,3.48460851067165
9,0.620585874611839
376,-0.639944040599801
387,-0.735071365781689
825,-0.85626500043049
1298,-0.882724090298301
1446,-1.01775807561016
1596,-1.02088089119743
2615,-1.02843275945429
3245,-1.03068011908172
3958,-1.03086207934951
3960,-1.03114794538578
4108,-1.03115672923661
4148,-1.03162574917894
5452,-1.03162606662981
5936,-1.03162772076352
6382,-1.03162776338593
6514,-1.03162818373151
7272,-1.0316283429258
7280,-1.03162835763311
7583,-1.03162839910316
7742,-1.03162840288836
7872,-1.03162843231047
7900,-1.03162843742381
8028,-1.03162844424598
8155,-1.03162844723034
8348,-1.03162844940015
8455,-1.03162845235947
8946,-1.03162845333166
9546,-1.03162845335671
9833,-1.03162845336608
9996,-1.03162845342289
10102,-1.03162845344135
10417,-1.03162845348351
11476,-1.03162845348778
11940,-1.03162845348796
12076,-1.03162845348942
12538,-1.03162845348956
12689,-1.03162845348982
13111,-1.03162845348988
14311,-1.03162845348988
14626,-1.03162845348988
