Evaluations,Fitness
1,1915470.3891143338
2,1434871.7929588447
11,1315050.0922208752
17,1177485.741690592
46,1066021.4417498806
48,793501.9922014585
52,789616.8177253285
54,597897.800955192
61,499549.3003546188
83,493896.67322529946
118,481893.73896566767
138,399731.59506860276
161,266010.26230497484
282,221230.19290818178
294,193765.09884262693
298,176166.18108707137
356,145380.9156782394
415,136084.03503016694
445,134739.54443752958
524,131984.71203854211
566,126743.72570743985
644,104719.74629435765
730,98153.09833035845
825,97885.26923605619
830,90741.15282761454
916,90630.03725855767
921,89722.02149149957
952,82161.2020440536
1017,81471.55095000009
1082,81165.52532887911
1152,81137.82408623508
1154,79723.29534083251
1161,78797.29638072089
1220,76382.57634271725
1281,76213.00234678511
1359,76119.6487687368
1417,74671.6666895764
1472,74554.21556255152
1549,74357.82175471945
1555,74104.66376296306
1563,74046.65169944178
1630,73165.86229532085
1641,73113.99763456838
1647,72884.16330301663
1700,72520.02288986395
1705,72277.19167161369
1746,71787.34599684073
1807,71196.64906558012
1836,70129.9208832717
1861,69772.61299521699
1886,69354.60424041173
1906,69089.25618485724
1931,69055.4330722196
1971,69005.26150912337
1986,68810.67837698222
1987,68560.36894087095
2021,68446.09582979823
2029,68074.09579573384
2035,67959.50046994378
2036,67271.49378233758
2083,66737.70323178438
2106,66082.76362416593
2127,65927.0058374878
2129,65617.93710197895
2136,65523.854839104075
2186,64928.13324981587
2254,64174.984780927916
2260,64127.32032224505
2307,64039.97880590384
2309,63650.000693604205
2331,62805.111254368516
2342,61797.520139331726
2433,61732.9911487091
2473,61381.30303441257
2557,61144.042365795336
2573,60988.04694285361
2580,60901.493399721665
2623,60835.582849606406
2633,60415.601311411134
2642,60302.31124238072
2730,60251.19028230734
2733,60165.80848301085
2736,60123.733016038976
2748,59919.20481897059
2751,59889.24593090477
2786,59869.97701582393
2801,59754.58334923957
2821,59734.7379705164
2827,59702.045911729976
2844,59587.719714086925
2848,59561.68315484908
2849,59520.481953313356
2894,59453.728830480504
2899,59440.158206809356
2928,59429.0964375125
2944,59421.11451126409
2948,59342.82199684814
2978,59262.87317687143
2987,59232.30690320244
3022,59188.40242370848
3028,59103.43149482518
3036,59043.55042022464
3037,59039.331275924575
3064,58948.66295560987
3097,58939.63974073968
3101,58893.95393088946
3126,58852.9196849229
3151,58780.42444884553
3164,58772.18208737541
3218,58768.191441789604
3237,58763.286318422906
3245,58727.85453938498
3264,58725.21676987205
3265,58717.97786245554
3271,58713.84697785788
3277,58706.515939107936
3282,58706.125761922165
3289,58697.39232659789
3295,58680.7879095923
3317,58667.494585897424
3326,58626.56122636453
3352,58605.86985734165
3417,58595.628471177595
3438,58582.83511394494
3455,58582.73793513662
3494,58580.42857921958
3500,58579.48337338547
3526,58566.83570999907
3538,58565.631946126836
3542,58559.407010355055
3554,58543.03016694597
3604,58528.20295283743
3636,58515.82255660229
3659,58504.991724056665
3665,58501.14851603328
3686,58498.37993738545
3688,58493.36584131878
3710,58483.503357476155
3715,58471.01558240579
3744,58464.339773559645
3767,58437.94364724915
3779,58413.98902890999
3794,58404.486922893484
3808,58397.89585195963
3844,58394.896256441294
3850,58392.795478656255
3858,58380.918600215395
3862,58379.5348056462
3920,58378.30441283747
3922,58376.737988906236
3927,58374.9323887287
3933,58371.85065903822
3939,58367.502604239984
3944,58365.90660099557
3977,58359.26521379902
3994,58347.8942756235
4000,58342.648308283395
4010,58341.14100338207
4032,58335.523378845675
4060,58334.279998026985
4062,58333.382456086074
4107,58330.76018974938
4119,58330.31444622405
4136,58319.80726393692
4186,58313.034927984925
4213,58310.82250462706
4237,58308.21861745713
4263,58307.35500777951
4287,58306.80389075911
4295,58306.713499568104
4313,58304.07023755913
4335,58303.28488542929
4358,58302.0318505619
4367,58300.893308808634
4378,58298.53780441796
4398,58298.42179553237
4428,58296.8882665492
4437,58296.433003420374
4473,58294.06836916685
4498,58290.501265046965
4514,58289.923832418564
4564,58289.323643517106
4598,58288.19034763824
4607,58287.94710358864
4614,58287.15005982165
4619,58286.90984703364
4646,58285.798047448836
4661,58284.39896927551
4674,58284.37870483248
4687,58283.64840965003
4696,58283.12358137273
4718,58282.552685459996
4762,58282.03689990786
4768,58281.30021679186
4778,58281.04819547303
4782,58280.778728625664
4825,58280.19914665065
4836,58279.60858594209
4843,58279.50065552568
4874,58279.36858156566
4886,58278.710660214914
4888,58277.91282836475
4900,58277.53863037096
4923,58277.32748118872
4925,58277.04819279459
4987,58276.599374776895
5024,58276.56522095246
5037,58276.43538402913
5111,58276.37761096224
5162,58276.18581069443
5286,58276.163598555446
5312,58276.14723140161
5536,58275.948160032305
