Evaluations,Fitness
1,3220.092601
2,2645.072088
9,2287.374379
55,2215.760227
75,2062.321321
141,2028.800264
153,1981.949753
176,1953.286527
178,1875.547649
182,1870.863751
193,1478.044888
280,1305.372185
607,1286.510014
646,1169.895454
748,1000.628208
1137,911.707133
1154,741.444481
1709,688.527315
1893,686.375726
1915,607.301569
1997,576.460778
2050,506.799381
2173,504.592934
2371,500.807865
2391,461.249396
2672,458.948710
2714,452.345069
2761,393.019368
2827,388.451983
2952,371.863111
3090,360.703148
3228,320.242167
3336,316.201046
3423,303.163059
3465,300.722001
3830,292.001554
3918,259.714941
4198,248.692516
4391,228.081603
4679,225.771367
4947,206.043343
5101,205.125013
5189,196.129043
5202,195.932496
5310,178.252757
5625,173.807878
5672,163.904176
5695,159.163481
5873,152.647706
5924,152.158655
5931,147.390047
5996,126.664655
6047,117.470294
6446,108.417990
6632,104.594560
6764,101.430849
6881,97.329993
6895,92.123465
7068,81.158869
7240,69.598266
7484,68.285242
7775,57.563726
8049,57.129325
8181,48.505410
8621,48.283107
8738,46.504583
8961,42.186846
9066,40.243221
9218,39.890678
9306,38.588128
9413,36.923214
9631,35.689028
9650,34.187162
9683,33.613523
9741,31.301962
9782,29.706677
9824,28.787344
10087,28.035028
10190,26.300550
10345,24.319736
10397,24.200070
10597,22.453914
10657,22.145435
10820,22.141079
10825,21.400095
10944,18.722018
11068,17.057391
11354,16.299265
11495,16.002789
11742,13.943632
11953,13.833473
12137,12.796679
12236,10.287266
12752,10.140469
12997,9.058807
13100,8.681406
13405,8.496040
13443,8.112075
13600,7.916071
13727,7.418327
13861,7.157337
14070,6.934227
14114,6.469419
14355,6.376808
14695,6.228556
14752,6.091679
14809,5.835445
14983,5.573697
