Evaluations,Fitness
1,2673.74
5,2166.6
31,1902.97
140,1893.79
157,1503.97
334,1500.2
377,1443.17
391,1404.92
492,1402.12
516,1293.5
686,1219.46
812,1187.77
893,1156.13
924,1069.52
930,972.372
1103,959.258
1134,904.728
1375,872.262
1594,840.039
1613,832.705
1698,585.612
2415,562.6
2557,526.421
2718,518.822
2848,503.139
3053,456.114
3276,424.291
3441,410.029
3669,368.077
3823,355.787
4214,334.06
4235,322.971
4294,264.338
4428,216.533
5193,211.756
5236,188.098
5629,166.958
5874,137.575
5967,125.588
6111,121.817
6317,113.524
6474,110.36
6764,106.22
6807,103.234
6834,100.185
6901,92.9999
7057,85.6784
7464,79.7738
7602,69.3899
7959,69.1782
7970,68.4951
7985,66.475
8081,65.9785
8312,65.5902
8337,64.4221
8365,63.2823
8435,62.5583
8441,55.8094
8653,45.404
9672,41.6038
9970,40.6261
10123,38.5895
10315,36.8083
10428,35.5546
10803,34.0652
10819,33.1062
11053,32.8766
11097,31.5813
11195,29.9595
11341,28.8944
11356,27.1127
11828,26.9632
11840,23.4719
12397,21.9199
12692,21.879
12775,21.841
12782,21.2043
12911,20.6949
12935,19.5579
13177,19.4613
13211,19.1874
13309,19.1164
13407,18.5376
13433,18.0647
13591,17.6659
13716,16.5583
14124,16.2469
14162,16.1728
14207,16.0127
14338,15.7303
14394,15.1806
14575,14.7848
14624,14.7666
14691,14.5399
14740,13.6693
14964,12.8856
