Evaluations,Fitness
1,5.35779e+06
2,5.2319e+06
6,5.02794e+06
7,4.70476e+06
16,4.3341e+06
46,3.78232e+06
54,3.67183e+06
72,3.52435e+06
123,3.11048e+06
136,2.90071e+06
159,2.60667e+06
260,2.37365e+06
380,2.24611e+06
536,2.09193e+06
584,1.71735e+06
659,1.65586e+06
801,1.12438e+06
1693,1.05752e+06
1713,1.04866e+06
1950,1.02805e+06
1976,962059
2036,926539
2069,916378
2268,884590
2337,881736
2341,875421
2343,771791
2666,733567
2748,720100
2784,706201
2818,695313
3004,659444
3100,623464
3204,549066
3411,524994
3452,472567
3698,446977
3934,435147
3996,416955
4589,395095
4663,299769
5006,286387
5154,284826
5298,262944
5309,250563
5364,231030
5677,225580
5770,217524
5837,198121
6022,195685
6349,167918
6815,149082
6912,142917
7111,142372
7152,129264
7313,119839
7453,112147
7591,101933
7874,100197
7978,75023.5
8266,66091.4
8682,64999
8868,64884.7
8914,59447.4
9175,59223.9
9253,58801
9255,56096.9
9310,53343.5
9337,50898.1
9606,44874.6
9664,43751.2
9799,39492.7
10136,37401
10206,33385.3
10395,30719
10687,30600.8
10887,29543.9
10971,27344.3
11004,24486
11240,24091.5
11354,23219.7
11405,22871.6
11653,20711.2
11769,19334
11982,18681.3
12163,17697.2
12182,15905.6
12429,15866
12507,14982.6
12529,14972.1
12687,13887
12818,13669.5
12853,13418.9
12885,12956.9
12976,11849.4
13151,10483.2
13169,10043.5
13334,9041.34
13727,8420.75
13736,8366.56
13822,7620.65
13995,7526.77
14002,7169.46
14092,6907.55
14242,6430.71
14415,6363.91
14507,6262.42
14641,6009.97
14684,5934.11
14917,5714.55
14928,5485.52
