Evaluations,Fitness
1,1063722746.3957044
2,1025417855.3888685
4,743127678.1586962
8,567861437.5719383
128,505978969.46366906
321,404010044.4808778
382,401079307.8244719
608,332401117.4832289
703,283923295.70559376
889,236156192.60888964
893,163840104.23087558
1032,158136991.0127607
1451,135322563.4561329
1742,128642905.77366015
1827,108792404.1990493
1833,93543003.50927874
1941,87190034.80974351
2151,82883296.04713735
2395,81702975.9970482
2407,79089152.07382946
2517,77537224.66700785
2543,77244847.27861543
2612,66467531.00918063
2637,55861531.6360915
2656,47577427.479305886
2966,39813680.71288434
3108,34580626.18001882
3176,24366347.426452927
3925,19467343.943807654
3933,18414024.227759514
3975,14589735.166420296
4258,14233742.207044944
4402,13326961.826404274
4520,11557571.109669216
5114,10019783.830675125
5142,9123258.43047981
5395,7611101.715913669
5675,6924488.073912703
5755,6675206.388469053
5950,6178030.793778922
5951,5736407.206460581
6013,5007817.512667304
6161,4967331.715973336
6850,4239472.141845054
7101,3009038.948491713
7255,2903766.87624071
7451,2567006.5782211223
7715,2379476.8761403724
7862,2256803.262901
7946,1933539.4023575033
8060,1885684.6505227508
8133,1753403.3437239802
8223,1414914.7871839746
8344,1322757.9236085133
8681,1135489.8658554943
8882,1109941.8764040982
9069,1076375.0559844228
9112,1059272.65376068
9210,1050861.3680056394
9234,899846.8299209095
9409,890814.8696885738
9442,831784.3569240457
9855,773340.1463569694
9951,735860.7196683574
9970,667952.9653049695
10060,588087.9246620422
10172,582127.5094340831
10305,475690.37249111757
10671,446284.96350184316
10851,435929.1189311829
11046,424781.0757547867
11061,398341.8401978039
11101,369920.5662671868
11238,335616.82261301734
11284,334335.45926365326
11298,328288.0657739201
11358,286604.5697880971
11566,282099.68033511145
11785,240640.94860906596
11991,227481.614651761
12060,225352.0229705738
12117,217541.47372022772
12240,209985.124544647
12263,208725.24480859097
12428,207124.73964211333
12460,201489.34262248065
12492,190896.00274994838
12554,182018.1004869563
12644,174573.48773339365
12667,161339.68401030562
12821,154261.82490923777
13130,148023.80370246715
13212,138003.46818960187
13502,137706.98245911158
13595,135596.8192023108
13656,108289.05120451206
13936,104309.06794668458
14025,99079.07970887667
14243,87865.5391525928
14297,84198.74259251404
14330,83656.02772777362
14635,82364.0209937938
14730,77126.8276795769
14817,77063.58891466793
14822,73080.6751342876
