Evaluations,Fitness
1,2811.271546935996
3,2538.825542704042
4,2500.0812624632517
11,2013.2396971019775
27,1962.0838846309773
72,1813.667577475692
164,1732.7223306073965
210,1651.0096985722646
477,1377.9841280490614
598,1297.0154090972835
694,1256.04966071843
696,1072.3534840555371
809,1066.635633067218
859,1052.6480822631324
909,978.1733913373179
1102,900.9304049922621
1303,873.6424384071245
1325,822.1356636612712
1345,801.3167910872952
1377,776.5705445397762
1465,738.0975830424746
1546,683.7172373669241
1716,531.7388718561132
2284,490.2663253090868
2319,464.4269317125723
2382,453.6580445570574
2440,435.87770474787203
2444,429.1680790776934
2563,427.7536750897364
2586,414.5270132958129
2659,386.82232953037084
2768,356.0509420603017
2931,340.16104893013147
3145,289.63260059505177
3162,279.5582767256751
3424,271.23205004935704
3615,247.23239478101524
3643,238.63608268865005
3975,235.37623069852495
4053,215.61278127080158
4152,201.9324412973311
4156,196.0480115581253
4361,183.0331194333168
4538,162.78911772149218
4730,161.09765400928825
4750,150.02639216902472
4917,146.6234931987235
4964,138.66830720360207
5112,138.61944992707328
5159,116.4470988518402
5809,102.28383136261948
5857,92.42606949381161
6151,85.51317233574014
6191,84.0176116311201
6274,70.92101220192717
6855,70.78320742285499
6902,64.93479351903297
6983,64.68800317672068
7063,63.15007675253384
7183,61.851183665122264
7334,60.78580371402764
7348,57.445611828894776
7455,53.55128015281176
7591,51.44607027014385
7611,51.08709701873544
7760,48.552078095457034
7768,48.31976489513851
7856,47.454690616764175
8013,43.707453388084616
8108,41.19103550241253
8362,36.45594999523683
8411,35.291571338607525
8825,34.62252874196878
8901,28.469504971080358
9089,26.972795362554074
9627,26.01320426901636
9692,25.475357759667105
9733,24.9777156126026
9760,22.606988653959327
10044,20.254611990591634
10267,19.370570229948978
10319,18.370851235561727
10523,16.827137618301215
10996,16.716149555615317
11102,16.25503054483935
11140,15.623080850931052
11199,10.735068629645143
11810,9.990502631415291
11831,8.524583263352184
12417,8.293244499552547
12431,8.270349008249399
12547,7.5993591440069865
12674,7.300577008214889
13030,7.018199608658925
13049,6.751063295187457
13165,6.585049822496314
13234,6.507764322214359
13314,6.4579974804658775
13494,5.395876790618858
13910,5.1867892084618035
14082,5.090197461202059
14450,4.987202667893464
14576,4.807316305713503
14592,4.66604690102027
14728,4.5397565375308755
14800,4.278525317129773
14908,4.203151672980342
14959,3.8376455367002777
