Evaluations,Fitness
1,1293.8237468785478
26,1277.269451495727
54,1271.1697603653888
129,1237.180286731761
167,1230.9600995197652
208,1226.2315000969566
254,1151.2657946999739
314,1117.079847852991
326,1093.2970266675961
412,953.0779267814826
889,866.3883224538272
1280,847.9766319087374
1314,839.0016934900369
1493,833.9582349005469
1501,819.1238665631718
1512,801.795525093203
1628,788.7805127493818
1789,766.8975498753259
1839,764.2537867392515
2022,745.6310167296696
2099,740.8595792056714
2105,692.6681296196141
2235,686.0594167064612
2457,686.0029285116843
3433,640.0422768028234
4068,624.4801616837701
4639,591.2360539884997
4826,571.3364628466852
4902,561.9868568489618
8719,556.4038315698958
12571,526.3556894460914
