Evaluations,Fitness
1,7195481.90407771
8,6991177.795516255
38,6324675.03690464
159,5126574.826151518
287,4094449.9494280796
555,4038935.035437923
564,3816434.395976818
660,3725827.4238881967
721,3248095.4568585367
874,2720202.7720939545
968,2448397.396681859
1253,2384746.293760089
1328,2069917.433871205
1512,1804770.9052518355
1875,1547712.9999430145
2058,1502493.7820614923
2315,1393091.0017754878
2428,1257474.5298518005
2455,1160021.2951428555
2804,1003886.5299251619
2969,935674.3081595573
3164,930365.5403418478
3330,892760.0034907664
3356,747013.911389189
3525,653381.7346111097
3587,640947.5459782303
3815,602260.5600400707
3832,514769.8139440131
4096,404858.95221480215
4318,383076.80861082685
4719,359500.95442341414
4757,340265.1872315377
4941,336687.68069906265
5131,322208.81215176557
5202,312449.3215066347
5308,293357.50990290166
5460,264147.9564546916
5541,252460.92353714627
5611,218945.57082668165
5846,209993.50407284757
6180,201375.22430675573
6291,185197.8772306454
6478,184991.12414264953
6580,173281.95224874633
6818,165076.62053170704
6898,158327.9567893851
6938,151614.50633012672
6955,150124.68196718564
7035,127893.92278571075
7431,121762.08598111672
7556,103013.21319771522
7698,91780.40313537064
7998,91109.14823137422
8120,87948.56336694567
8163,86834.21957485474
8301,86681.14746791529
8322,86287.42571922872
8448,78860.94106880698
8509,74178.33981056843
8598,66388.62212778984
9093,54350.80036713259
9098,53101.137339453315
9338,51274.81176672479
9615,45156.36700003869
9763,44059.35088825956
9888,43774.67777910138
9997,42673.02334700033
10112,42174.40214818024
10196,40350.08339135186
10289,40177.70667348983
10319,39607.94072997152
10345,39450.462753340245
10385,36756.22814036329
10592,35668.95555225861
10615,27208.968109869704
11391,25011.549321060163
11454,22810.47589165415
11569,21127.116712479437
11994,19457.59830139011
12020,18597.152112067448
12163,17348.356723211913
12250,15478.755224063827
12611,11512.418767310583
13148,10470.196174264438
13507,9876.052876944854
13691,9304.94432150447
13791,9128.669337800004
13954,8800.347672225067
14107,8625.25809305331
14154,8478.215240435715
14255,7850.140780705321
14385,7015.340074394227
14482,6894.811911826703
14517,6522.3730862092225
14702,6074.872704228766
14936,6005.432270839144
14972,5995.197094177321
