Evaluations,Fitness
1,213872899259135
2,21211088785795
3,210333757097805
4,210007097551
13,20988128307019
16,2085010219985
25,208382221799
26,2071973825305582
199,205557712180033
386,2030182093838
603,2033987373817
691,201519395382
822,20178775317283
881,2011071033937
1001,199232901738907
1140,19807818752
1174,1975317593
1244,1972720553509
1291,19529553739885
1329,19307232831538
1369,193170508331017
1408,193911098885875
1411,1888323337721827
1662,1839955539715
1960,183092775805
2020,182552199575
2035,1817851751953
2050,1807972523358
2162,179932187282
2166,17182557308728
2209,1758008593320507
2251,1785739715039
2368,173750331073035
2441,17378080313915
2478,1718159035797
2594,171573219525
2598,17121255989091
2601,188770257977
2739,1801288300
2779,15721805502
2791,127590319228837
2861,11327351770953
2866,139770333859
2970,13512712170821
3006,108381002390088
3077,158023151233732
3283,159029821372371
3580,15195330703129
3762,15191751070713
3802,1518992721387
3834,150992931911759
3852,1509009990091121
3854,150703507207712
3926,150039720728972
3941,180725828252
4007,1792813332127
4027,172311257085
4164,17115292198
4194,151173928527
4278,153835980771279
4352,15309228972903
4406,1527520098919
4422,12392513282
4513,119701132207
4533,11358570830193
4576,10390992022
4619,139919817218
4716,1393211582881329
4792,13880992127328
4843,13738751712999
4984,13870300227
5081,13521022273352
5231,1350280203175
5267,1395550359078
5270,13085351973
5271,133598538823151
5330,133953933980918
5383,1338897029252
5404,13339987915509
5420,133132309220207
5453,132215591198189
5535,1320573880351312
5540,13050905873257
5766,129831253738
5790,129822312050198
5796,129817327372583
5838,12973503071919
5897,12928291005211
5947,1282995081
5996,127839513
6000,12721873819587
6046,1272872350382397
6146,1255712551228
6236,1255935188175
6251,127731707937
6350,1227251088
6455,122287717191
6830,122275883522
6887,12103055371705
6919,12088322187989
7025,12053935727708
7095,1193557177599
7327,119183598251228
7331,1189957232018877
7366,1180250988701
7502,118079730538197
7514,1175131719039
7520,1179707823753
7588,1170187983503
7636,1173921507817178
7639,11712588073802
7762,11859038019021
7771,118135022801388
7790,115872223013730
8024,115599323118
8049,1155915199173
8104,115325070395357
8160,1151253028899351
8205,1192918911995
8261,1187080707790
8369,11399999590259
8549,11388070851885
8742,11371889891835352
8751,1138185897975
8761,11315983119152
8855,1129323792000
8993,1128130071552202
9053,112721891987372
9120,11219289083188
9352,112329393711
9418,112210212590072
9419,112097301302882
9452,11180102913089
9624,111721701023
9764,11171122508332
9797,111770131212
9856,111352310197372
9883,11122017003352191
9945,110928975391
9997,110557829835087
10079,110207827270098
10267,1101907938158798
10424,110090805599892
10469,1099522583152
10501,109879393251051
10556,10987375715327
10568,109138011391
10680,10953375520879
10784,109512303858858
10853,1090808089899
10935,10932991821957208
10977,10927120097252
11071,1089221238835053
11497,10819528888308
11557,1078700309289009
11782,10777887900217
11802,10772102750897
11918,10731179917
12359,10731155991093
12401,107339131503
12410,107272202055277
12458,10723180319838
12527,1071193873228052
12532,1005571938250
12642,105889317812
12767,1051925025733
12835,105232359115331
12953,105223289085123
12976,1050950513200523
13129,1050025151387302
13155,102531525108
13234,102381791237
13239,102137193908
13245,103350315599
13312,10358333789088
13487,10352093011573578
13545,10338818020579
13621,1032703799893917
13627,103159999822
13840,10239351895837
13881,10231291157012
14020,1022112797788
14083,10210372192051189
14103,10200573038
14166,1018831857392539
14313,1018351502907
14357,10177295071192
14399,10175111381292
