Evaluations,Fitness
1,(36487.083757095475,)
3,(11093.456881250102,)
4,(473.646172535821,)
6,(21.19249813757155,)
104,(20.49788042228662,)
231,(12.621528904322663,)
398,(12.61656792260919,)
540,(12.597664097215869,)
556,(11.060837894486335,)
664,(11.029148207498396,)
690,(11.018131634708823,)
899,(10.934181838739947,)
1028,(10.874728958445424,)
1386,(10.871485619918948,)
1461,(10.751593691634346,)
1850,(10.743232966256533,)
1877,(10.739439198932443,)
1892,(10.735230647424293,)
2062,(10.729537872149551,)
2096,(10.729098769966598,)
2135,(10.723282444324107,)
2295,(10.722089546823595,)
2436,(10.722024074384567,)
2451,(10.721302426895129,)
2626,(7.935614280075392,)
2778,(7.899656037485151,)
2908,(7.896043555853876,)
3054,(7.8450657460444715,)
3220,(7.725258361249321,)
3267,(7.722225834451362,)
3413,(7.721808921403177,)
3433,(7.718855100550516,)
3576,(7.694917052952848,)
3631,(7.6946413719310485,)
3708,(7.6918427366267,)
3786,(7.688708448538918,)
3914,(7.406368713537643,)
4038,(7.405904207483059,)
4172,(7.401851268956129,)
4247,(7.373709537927703,)
4305,(7.246861881637017,)
4393,(7.220390458075112,)
4394,(7.121890906077101,)
4487,(7.0288398587385315,)
4881,(6.958027707312423,)
5481,(6.955483307396132,)
5482,(6.955275478206824,)
5565,(6.955203011286639,)
5635,(6.954285518007113,)
5645,(6.954072696682609,)
5660,(6.953733595266884,)
5730,(6.953496911982298,)
5810,(6.953211243534234,)
5825,(6.952859705237726,)
5860,(6.951231787216158,)
5898,(6.950470228301771,)
6330,(6.950452951448151,)
6526,(6.950367779110089,)
6555,(6.950282615350538,)
6596,(6.950239481617462,)
6708,(6.950226356683429,)
6797,(6.950226340950974,)
6837,(6.950213194827244,)
6877,(6.950200188267972,)
6912,(6.95016995293667,)
6980,(6.950169924492547,)
6987,(6.950165175192417,)
7054,(6.950161173920894,)
7084,(6.950154126811347,)
7217,(6.950136807984583,)
7482,(6.95013497646176,)
7525,(6.950133990984689,)
7632,(6.950133880760003,)
7645,(6.950120402620098,)
7768,(6.950119172086325,)
8449,(6.950119111991663,)
8586,(6.9501190177806995,)
9323,(6.54871478239774,)
12551,(5.5724057461018015,)
12917,(5.477356021377353,)
13026,(5.476365983269821,)
13055,(5.338257844961565,)
13235,(4.453171292227664,)
