Evaluations,Fitness
1,-3.2989755418854037
6,-3.5528807058205465
15,-3.7248736910283777
41,-3.778304504747386
140,-3.8060884006318583
255,-3.8150896386685433
261,-3.8301646482216314
306,-3.8350706518175923
354,-3.8499489164436604
537,-3.851220753707318
704,-3.8527101848424685
746,-3.8582775043142323
853,-3.8583798593351144
881,-3.858718069759608
1243,-3.8589176343420535
1839,-3.8590341184617367
1841,-3.859042960955503
1972,-3.8590508977242086
1992,-3.859118469224817
2068,-3.859204495837151
2152,-3.8592142483341383
2294,-3.8592205754263453
2372,-3.8592236902935664
2483,-3.859230104529484
2577,-3.8592372345449357
2581,-3.859259295326158
2671,-3.859270769388753
2785,-3.8592742598390526
2877,-3.8592743803773684
2957,-3.85927970581844
2978,-3.859280074526052
3047,-3.8592809321010453
3163,-3.8592812236882263
3308,-3.8592812687069142
3411,-3.8592822043795625
3570,-3.8592822157565227
3596,-3.8592823988322644
3631,-3.859282721128464
3716,-3.8592835949246385
3821,-3.8592835978582265
3944,-3.8592837897231576
3991,-3.85939594834747
4048,-3.859397878356833
5044,-3.8606282045705145
5074,-3.8606362767802014
5127,-3.8606504251654283
5161,-3.8606765024878054
5256,-3.8606773876563394
5276,-3.8607078105884742
5305,-3.8607425019335033
5440,-3.8607439900956377
5522,-3.8607645905456547
5747,-3.860764649347348
8845,-3.8607853441090034
8870,-3.860785344428515
9018,-3.8607853444291664
9042,-3.8607859234117505
9209,-3.8609905120600763
9413,-3.860990600706509
9461,-3.8610027516053065
9540,-3.8610071905500676
9632,-3.8610192727013275
9864,-3.861019272705446
9900,-3.861019274746795
9920,-3.86101942534769
9986,-3.8610197025206965
10000,-3.8610260291115175
10150,-3.8610260291506524
10254,-3.8610260472266864
10406,-3.861026233733803
10476,-3.861026233735262
10509,-3.861026248322229
10612,-3.8610264567803396
10642,-3.861026836357253
10796,-3.861026913475273
10934,-3.8610269280989495
11161,-3.861026959971995
11348,-3.8610269599744345
11446,-3.8610269626292957
11519,-3.861026962893925
11532,-3.8610269628939267
11566,-3.8610269634273418
11684,-3.8610269637535053
11696,-3.8610269643115323
11755,-3.861026966785455
11774,-3.86102696846288
11809,-3.861026968968691
12040,-3.8610269703296405
12191,-3.861026971879928
12314,-3.8610269718800647
12347,-3.861026971887026
12440,-3.861026971893957
12474,-3.86102697197286
12509,-3.861026972020919
12694,-3.861026972064108
13088,-3.861026972092264
13170,-3.8610269720924593
13289,-3.861026972101602
13448,-3.8610269721037107
13484,-3.861026972108532
13487,-3.861026972111494
13593,-3.8610269721138715
13675,-3.86102697211621
13721,-3.8610269721183768
13929,-3.861026972118988
14035,-3.861026972119032
14047,-3.8610269721192996
14075,-3.861026972120815
14162,-3.861026972120822
