Evaluations,Fitness
1,11322320295898
2,9722907991770755
32,93911789098781
126,931383012001
156,9310705722981077
211,923279759120177
219,9120250101502
246,88175522202831
258,838731790230083
297,83151020027
305,8091579052
438,795738959898725
488,7831297893559
635,782101737505
745,79815713959282
800,7233805928
886,709283515223053
1002,7050759788839
1027,90782821732
1154,8270787110837
1201,57097202325
1242,503501539
1250,058730975327
1354,039985228395
1382,581157021225012
1530,55938825579318
1731,531085837158
1758,509283281982
1842,5011951522122
1843,929387318135
2028,805178903
2094,35939150799
2243,2928233828893
2255,57501035337231
2256,528321588025
2300,17739933228
2317,117713721597
2372,10251098253337
2530,398275357789
2546,385189570051
2834,373378798152281
2868,3853081523
2952,305329277180225
3036,3573810777
3115,321522020202283
3204,30882307032
3252,297585957257
3378,2892008079887
3513,2395375837329
3592,2575951217199827
3616,252197298217
3701,2511027799390858
3739,205729782755
3816,2051771898
3866,238755928255
3869,22907119877292
4183,2170828737893
4316,2100195552720
4351,20139327857055
4464,1953891825039718
4760,189808838805098
4826,18752902939752
4866,182717302821199
4879,1839072223
4956,178090507083
5033,1989995378
5190,19102392577708
5228,11182295195
5502,103099283515
5656,155158980132
5773,1559729915018388
5775,15953179789253
5816,151801222220
5973,151197289975
5980,1500795908318
6062,1951733233073
6130,18527097575
6137,151717821570725
6249,109372085985
6331,1379881050289357
6564,137885187132
6591,135773719137
6641,1319783939032373
6709,12590735530587
6854,1277127138322
7001,12778880003873
7018,1227850333552
7019,121231595
7046,1239305970732232
7101,1227003781882
7283,12111891852389232
7487,1191123172311
7707,1182329200093775
7758,1180559051837
7820,1172012882153529
7894,11093555779
8046,115907850958999
8154,11553813872731325
8221,115327833359977
8299,1152277593383510
8327,115010577137782
8412,11855898500220
8419,115785198088
8501,110789919917
8536,1100907711359
8575,11355539290579
8902,1132199337757
8908,11315395857083
9013,1130331231807
9039,11302308975987
9078,1127822350881073
9137,1125225570983
9303,1125177288399515
9463,11230193811155
9509,1122871020859257
9602,112019292751992
9904,11203087999757
9989,1120288258119929
10058,11199177852
10147,111919038529955
10200,11189535589878972
10232,111872923755
10330,111851773988009
10337,111700512011292
10610,1118599527587
10754,1115879355519
11050,11121318320293
11113,1115900215357
11161,111588113510577
11260,11158779173058
11281,111575015373192
11436,11157151199508155
11450,1115971898002
11497,1115315772009
11575,111531859187138
11577,1110789552285712
11692,1110378972987353
11799,1110297883803128
11829,11095537502159
11922,1109795953
12121,1108101085007
12268,11079721998233
12335,1102253021132
12539,110239791750257
12591,1102150915391
12665,11021089115212
12719,110210375077
12726,110181239973
12762,110178701138392
12811,1101780228773
12868,11017230221017837
12886,1101702282108
12985,1101987319101
13032,1101732095552
13161,1101395551138733
13342,110127582850872
13543,1101253819707173
13633,11012318392051
13700,1037273851993892
13843,103109003579
13998,103010973975
14004,103577287022933
14022,1035592582039279
14024,10355981830513
14099,1035512119270017
14190,1035958171828
14202,103505913750025
14212,1032217330225
