Evaluations,Fitness
1,917773795.0583843
3,759662520.5931215
5,681217101.5585235
42,656383178.2437372
56,625023760.8011326
103,601556866.2727942
245,571493269.8215704
256,568587937.469327
257,520268473.1689901
304,496747636.95531666
399,462640568.4843351
411,363852616.4646175
621,298411055.6686202
696,290280420.45959985
788,260819443.2324958
946,221664024.36508265
1062,194043012.28557315
1321,188169670.54166237
1346,186930065.52652714
1391,117609355.66833715
1638,113059006.40745641
1774,112697552.74170747
1843,86500244.22323085
2022,82601791.97394037
2101,80226627.22637038
2119,67546680.52294712
2249,66561601.89391568
2401,59369428.22345761
2505,53977087.62673263
2607,46894251.5002603
2692,45543703.487601444
2816,43371316.32546386
2843,40463341.885350704
2932,34731323.32841678
2946,34686582.38451478
3046,32504686.746895947
3157,31856381.353405997
3178,31640002.9237804
3217,30593391.243125033
3263,28828325.688056313
3424,23132995.59877153
3618,21586972.07652737
3649,20095873.81698371
3910,20078214.93290236
3927,18029142.541229486
3947,17454012.62616436
4044,17169235.883311864
4077,16273883.740531985
4141,16041655.509180786
4165,15918195.38797083
4186,15861579.713320892
4187,14996143.598007979
4256,14500919.010782767
4268,13786018.80066535
4384,13565542.202970922
4432,12176207.824597081
4490,11931095.928500153
4497,10849698.498084458
4721,9923199.355379293
4865,9870452.506184313
4910,9826478.015427785
4944,8629582.293115882
5145,8433004.918018145
5160,8357057.127110621
5210,8239422.589923393
5254,7359745.299813911
5565,7238859.322909296
5608,7180551.713363765
5623,7117068.431633526
5667,7099500.731137454
5706,6993564.722266001
5746,6657393.878281156
5901,6650902.817551559
6073,6642058.266235684
6104,6206178.234125663
6134,6201191.9283649875
6279,6145778.1130263135
6282,6128381.36815751
6334,5875630.008882788
6421,5836542.511243475
6427,5827429.596145867
6458,5650455.868305659
6585,5644406.361983973
6617,5604465.134563123
6663,5515238.8172554895
6682,5497471.675815483
6885,5436249.2826183345
6920,5417528.349668982
6980,5352118.4599525565
7134,5322162.0351280775
7142,5320517.500042105
7193,5269325.654549262
7255,5200550.165269871
7355,5183170.8613493685
7420,4953920.538522522
7584,4886719.61365801
8054,4883076.173597381
8138,4877397.320785629
8282,4858187.869329835
8310,4492747.4989067465
8378,4492570.399202151
8502,4485372.837352608
8516,4481898.020345081
8559,4475714.485920699
8575,4467277.220257946
8615,4457031.211729148
8657,4444985.530294579
8705,4439569.549669171
8722,4432648.383607484
8811,4426829.813755211
8859,4401656.017350119
9048,4393133.096902442
9052,4374365.652585994
9062,4371979.4496474415
9204,4355217.40005716
9265,4294382.6709764395
9944,4291874.204357447
10006,4291402.812588454
10011,4281491.312104661
10061,4267707.570844448
10109,4240866.701685733
10243,4230385.640945089
10536,2748083.459512466
