Evaluations,Fitness
1,(7527011.724611677,)
2,(5709069.39771751,)
4,(1662023.5727750957,)
6,(643718.365042488,)
21,(581491.3969287109,)
34,(548653.3339675951,)
57,(508059.76327041537,)
70,(343575.10921410006,)
306,(293219.09425351257,)
624,(253164.84632813983,)
1145,(213411.7278196272,)
1749,(207851.70334975747,)
2602,(189309.96590370047,)
3387,(130829.95934790383,)
3451,(128847.40855760712,)
4502,(124524.90107558406,)
6436,(118474.71662450145,)
7879,(115813.72630692326,)
7949,(115555.4790934189,)
8188,(112465.13721358862,)
8272,(112322.49008037627,)
8676,(112311.8712863479,)
8708,(111038.61071436843,)
8811,(108998.84156795392,)
8815,(108106.78773429869,)
9072,(107168.23034498015,)
9162,(106452.179279166,)
9393,(106297.35106851572,)
9586,(105738.64519215265,)
9675,(105521.44003938582,)
9691,(105453.00597689151,)
9757,(105026.52888916012,)
9795,(104907.78595237524,)
9877,(104427.02912686775,)
9907,(102825.3602875875,)
10245,(101890.7907520475,)
10644,(101850.7234361835,)
10812,(101341.97459434763,)
10890,(101162.1190432706,)
11065,(100792.66965275831,)
11167,(100770.90101273172,)
11243,(100577.68103257634,)
11400,(100366.90561526005,)
11411,(100177.26203915596,)
11431,(100067.92700597235,)
11789,(99539.69178102879,)
12229,(99476.24779907471,)
12401,(99216.00868357954,)
12445,(99095.62765663177,)
12548,(98748.9524368548,)
12734,(98692.3229357114,)
12943,(98683.64101765354,)
12948,(98656.80986399969,)
12951,(98570.99121381828,)
12996,(98417.12074157111,)
13095,(98157.09215658874,)
13106,(98135.05270548056,)
13109,(97013.63895468741,)
13219,(96995.9576129784,)
13292,(96719.90990396542,)
13412,(96514.22099697818,)
13579,(96397.22329686591,)
13607,(96352.64350077638,)
13665,(96235.44694025448,)
13753,(96048.32617479133,)
13849,(95826.97719078462,)
14297,(95693.2917910634,)
