Evaluations,Fitness
1,1394994.0209784587
4,582085.3311634089
92,462259.4263530634
111,351484.81114887504
126,292720.2937864882
656,275775.4299421205
1163,273054.687826092
1417,217455.80812952112
1740,190764.37022678726
2926,150932.41223599913
5538,149871.4455329407
6201,136236.5250934179
7251,135180.16105007255
7292,118634.97556979567
10991,118016.97848575043
11156,117112.36094447777
11216,116570.51458223736
11222,116024.52433681783
11446,115824.21136841948
11488,115599.19710695269
11527,115063.4965713481
11603,111441.58910669966
11879,111428.33496063469
12093,111273.33718859681
12154,111093.85807723465
12207,110392.2890960009
12225,110254.9107608501
12258,110143.33791283912
12361,109822.68087589796
12477,109782.83226739855
12749,109550.07927532837
12807,109279.20240833602
12951,107588.8425829855
13058,107511.70462621696
13108,107428.27211489592
13153,107295.9729788172
13494,107137.49651249153
13566,107103.28335537648
13575,106807.22900940846
13577,106596.9736975748
13814,106535.88464723367
13884,106517.86994224785
13947,106480.69388769922
14037,106357.5002872636
14284,106277.20378345596
14292,106158.71928055314
14403,106142.08947828866
14415,105939.06811242118
