Evaluations,Fitness
1,(498.51353837927644,)
3,(497.96083566238593,)
4,(137.69024147709933,)
25,(69.89914028041143,)
34,(22.288975730250012,)
61,(9.21540016101106,)
65,(6.943336511901211,)
109,(6.834355336803072,)
193,(6.737759366220324,)
252,(6.113434007456541,)
316,(5.965348747701233,)
324,(4.885592373081164,)
388,(2.594575222327378,)
407,(1.1652983777484252,)
519,(1.054097777059682,)
630,(1.01656070664014,)
639,(1.0151574257808091,)
757,(1.0085148921784768,)
889,(1.006298780809187,)
969,(1.0058457229970994,)
1142,(1.0016896072448866,)
1437,(0.9981036616144804,)
1451,(0.998072502037715,)
1687,(0.9980690463613091,)
1777,(0.9980600239975669,)
1790,(0.9980205295061463,)
