Evaluations,Fitness
1,(np.float64(15620982.708276136),)
2,(np.float64(15283239.725646716),)
3,(np.float64(5742804.259973311),)
4,(np.float64(989133.6657983229),)
31,(np.float64(880447.4010095603),)
52,(np.float64(762320.3336912802),)
121,(np.float64(760336.8659648797),)
124,(np.float64(758654.7285666111),)
185,(np.float64(483349.6254986403),)
1075,(np.float64(322433.28265577205),)
1578,(np.float64(298392.7551080509),)
2510,(np.float64(245290.77972564497),)
2656,(np.float64(243736.79681687412),)
2679,(np.float64(239967.29561603474),)
2761,(np.float64(237401.3395027728),)
2913,(np.float64(232902.1945783015),)
3036,(np.float64(231904.81266281925),)
3321,(np.float64(230415.28380554437),)
3504,(np.float64(208905.3210958305),)
4114,(np.float64(187663.5752474064),)
5060,(np.float64(158218.57489419894),)
7391,(np.float64(157837.59382261976),)
8112,(np.float64(157665.27112713776),)
8229,(np.float64(157520.82016455507),)
8247,(np.float64(157416.85624048833),)
8315,(np.float64(157159.92126117277),)
8438,(np.float64(157126.01691486526),)
8470,(np.float64(156390.1817313205),)
8528,(np.float64(154143.74130782898),)
8948,(np.float64(153695.60151694118),)
9166,(np.float64(153619.385706073),)
9197,(np.float64(153468.7248247136),)
9271,(np.float64(153350.14193423963),)
9348,(np.float64(153332.20839467744),)
9362,(np.float64(153166.9583589775),)
9468,(np.float64(152761.34082735682),)
9501,(np.float64(152302.48103635167),)
9649,(np.float64(151748.86914756478),)
9916,(np.float64(151600.77803009193),)
9995,(np.float64(150913.10575199727),)
10219,(np.float64(150870.32428676932),)
10280,(np.float64(150363.70128795318),)
10412,(np.float64(150320.43654376516),)
10444,(np.float64(149774.6611717286),)
10489,(np.float64(149139.19376528694),)
10512,(np.float64(149126.2237543672),)
10630,(np.float64(148452.1454451032),)
10749,(np.float64(148412.04558406223),)
10806,(np.float64(148282.78585772874),)
10868,(np.float64(148234.06228330696),)
10942,(np.float64(147772.37577250766),)
11017,(np.float64(147579.9177445813),)
11247,(np.float64(147185.5784563662),)
11842,(np.float64(146787.98061353547),)
12347,(np.float64(146674.92237642495),)
12421,(np.float64(146673.07503628498),)
12427,(np.float64(146490.58714000738),)
12496,(np.float64(146398.3065721062),)
12615,(np.float64(146382.1956473168),)
12792,(np.float64(145715.85723975525),)
12936,(np.float64(145678.29723088522),)
12940,(np.float64(145595.05965672008),)
12985,(np.float64(145428.8190471755),)
13205,(np.float64(145428.3752442578),)
13368,(np.float64(145330.49639692542),)
13380,(np.float64(145050.95475235314),)
13467,(np.float64(145043.9474100423),)
13549,(np.float64(144948.23037862012),)
13560,(np.float64(144863.6482505431),)
13691,(np.float64(144812.86624263955),)
13733,(np.float64(144707.97981136036),)
13974,(np.float64(144630.11793946056),)
14109,(np.float64(144610.7733387245),)
14132,(np.float64(144603.68389133975),)
