Evaluations,Fitness
1,(np.float64(405621.85885017057),)
2,(np.float64(251726.05750028527),)
3,(np.float64(228443.67390007016),)
4,(np.float64(225409.06186678083),)
10,(np.float64(209514.88645974256),)
65,(np.float64(169330.38612007743),)
120,(np.float64(166579.3735248632),)
237,(np.float64(164089.1007184991),)
245,(np.float64(159980.27877619432),)
341,(np.float64(159938.09909463857),)
348,(np.float64(158806.7275476806),)
372,(np.float64(148779.61969497686),)
389,(np.float64(127364.40748294555),)
524,(np.float64(125794.22196443628),)
578,(np.float64(123261.66595032887),)
606,(np.float64(123005.10744516234),)
699,(np.float64(122958.97743390533),)
716,(np.float64(113812.64070766445),)
755,(np.float64(108783.93750519436),)
792,(np.float64(108688.53697116072),)
801,(np.float64(105867.58937982771),)
842,(np.float64(103028.08450394926),)
872,(np.float64(89588.80970073931),)
1019,(np.float64(87118.51369055832),)
1065,(np.float64(82159.8161735513),)
1126,(np.float64(80574.15785420468),)
1141,(np.float64(74855.42075777089),)
1331,(np.float64(74299.63024773898),)
1364,(np.float64(71966.1068877468),)
1411,(np.float64(69881.2640769071),)
1458,(np.float64(68898.68816265784),)
1464,(np.float64(66769.86600106787),)
1516,(np.float64(58834.175476530974),)
1689,(np.float64(58072.38398420158),)
1726,(np.float64(57193.1372755259),)
1729,(np.float64(56624.1451279685),)
1740,(np.float64(52989.965280960285),)
1786,(np.float64(49080.627879287174),)
1870,(np.float64(48303.12026259694),)
1919,(np.float64(46915.98946319074),)
2052,(np.float64(45337.858602399734),)
2167,(np.float64(42737.75017938349),)
2270,(np.float64(42672.85806767295),)
2293,(np.float64(41738.58177172918),)
2412,(np.float64(41206.80551893699),)
2449,(np.float64(41022.34375789232),)
2462,(np.float64(40801.30354058234),)
2470,(np.float64(36757.15765496622),)
2485,(np.float64(36374.3416231746),)
2548,(np.float64(34059.50786626263),)
2558,(np.float64(33791.638662513054),)
2640,(np.float64(31962.421883560288),)
2676,(np.float64(31558.746692469125),)
2686,(np.float64(30576.012239279713),)
2841,(np.float64(29700.737495693633),)
2963,(np.float64(28805.024448538945),)
3034,(np.float64(28460.957551996387),)
3041,(np.float64(27964.031806094048),)
3071,(np.float64(27340.739404620996),)
3102,(np.float64(26588.36398922899),)
3138,(np.float64(24244.13209592665),)
3277,(np.float64(23718.44822119051),)
3493,(np.float64(22997.426446119436),)
3516,(np.float64(22348.339228864825),)
3597,(np.float64(21862.949303717123),)
3605,(np.float64(21836.407390595577),)
3625,(np.float64(21639.161122659552),)
3683,(np.float64(20836.601475180232),)
3691,(np.float64(20665.80120396583),)
3709,(np.float64(20547.745326311444),)
3805,(np.float64(20029.25864997171),)
3976,(np.float64(19358.594925244583),)
4031,(np.float64(18708.399629590607),)
4139,(np.float64(18428.699857047297),)
4252,(np.float64(18270.45491177077),)
4283,(np.float64(17852.227408055987),)
4352,(np.float64(17824.669705867418),)
4580,(np.float64(17694.61809756308),)
4603,(np.float64(17649.354791376365),)
4682,(np.float64(17634.760083424502),)
4709,(np.float64(17560.071595388803),)
4716,(np.float64(17559.38448545228),)
4723,(np.float64(17481.666349388797),)
4727,(np.float64(17190.167126060627),)
4754,(np.float64(17161.6959367263),)
4837,(np.float64(17024.287433886217),)
4920,(np.float64(17018.696815120384),)
4924,(np.float64(16540.84618432717),)
5099,(np.float64(16451.924918482197),)
5157,(np.float64(16240.320846043209),)
5294,(np.float64(16206.614745590552),)
5327,(np.float64(15993.874435310354),)
5344,(np.float64(15838.271458236644),)
5398,(np.float64(15713.7992097403),)
5487,(np.float64(15593.209550074023),)
5600,(np.float64(15572.427557017649),)
5613,(np.float64(15496.433155484507),)
5680,(np.float64(15448.125893772176),)
5704,(np.float64(15388.531135649635),)
5738,(np.float64(15356.306265293608),)
5760,(np.float64(15300.218414076613),)
5824,(np.float64(15260.206809512842),)
5869,(np.float64(15179.193165077893),)
5973,(np.float64(15002.714999759244),)
5985,(np.float64(14874.232719844476),)
6085,(np.float64(14829.96590821512),)
6193,(np.float64(14687.365441170015),)
6370,(np.float64(14687.326338386896),)
6388,(np.float64(14589.093328240566),)
6459,(np.float64(14469.16626912439),)
6541,(np.float64(14413.062824429722),)
6562,(np.float64(14370.911297254544),)
6568,(np.float64(14322.672678591172),)
6650,(np.float64(14273.660485015258),)
6705,(np.float64(14223.876704756363),)
6759,(np.float64(12534.788740837172),)
6847,(np.float64(12470.701795168205),)
7405,(np.float64(12368.102841041335),)
7585,(np.float64(12126.921955551858),)
7864,(np.float64(12069.1113978601),)
7894,(np.float64(11921.107100288198),)
8015,(np.float64(11903.535176095576),)
8085,(np.float64(11882.50369190222),)
8147,(np.float64(11831.247700858155),)
8198,(np.float64(11802.894340925113),)
8259,(np.float64(11778.497540161632),)
8383,(np.float64(11777.40515125123),)
8397,(np.float64(11722.707569225651),)
8440,(np.float64(11665.836576844787),)
8534,(np.float64(11662.671994174561),)
8543,(np.float64(11558.261446875607),)
8670,(np.float64(11522.533625296408),)
8725,(np.float64(11501.945617246807),)
8845,(np.float64(11482.362802643489),)
8848,(np.float64(11413.698195173483),)
8881,(np.float64(10697.082333493425),)
9516,(np.float64(10616.952034461718),)
9600,(np.float64(10592.757222160866),)
9621,(np.float64(10533.173612661682),)
9623,(np.float64(10479.72426118599),)
9802,(np.float64(10171.01076434572),)
9825,(np.float64(10078.346184926471),)
9874,(np.float64(9878.482825148365),)
9923,(np.float64(9795.466851295698),)
9970,(np.float64(9788.415695546257),)
10040,(np.float64(9777.309206194815),)
10163,(np.float64(9736.729331071669),)
10214,(np.float64(9733.291151070076),)
10252,(np.float64(9678.92055416807),)
10415,(np.float64(9670.303206432594),)
10448,(np.float64(9669.255359441158),)
10470,(np.float64(9621.034404782587),)
10554,(np.float64(9595.43208211345),)
10659,(np.float64(9550.154381225038),)
10687,(np.float64(9501.374655554251),)
10748,(np.float64(9306.310714996209),)
11029,(np.float64(9289.148732734968),)
11033,(np.float64(9220.655326552604),)
11070,(np.float64(9219.651370866262),)
11115,(np.float64(9178.594571985006),)
11132,(np.float64(9031.80704350869),)
