Evaluations,Fitness
1,(84.10822344616068,)
2,(0.3329039978606192,)
56,(-0.010867915793657012,)
61,(-0.16776632009115733,)
121,(-0.42836637085820495,)
331,(-0.5019927525914113,)
384,(-0.5572088638999696,)
394,(-0.5901549936827546,)
400,(-0.7456853735803692,)
457,(-0.9528783009340236,)
497,(-1.0073930432193203,)
529,(-1.0294176091829412,)
599,(-1.031556020478064,)
698,(-1.031568812234211,)
931,(-1.0316137801587846,)
1259,(-1.03161683993682,)
1341,(-1.0316178618636158,)
1446,(-1.031617950919676,)
1478,(-1.0316208791730408,)
1541,(-1.031621088701071,)
1757,(-1.0316214895708393,)
1855,(-1.0316216749381757,)
1918,(-1.0316216969185001,)
1933,(-1.0316219677321101,)
2058,(-1.0316221557404286,)
2119,(-1.0316223316951676,)
2142,(-1.031622461534659,)
2673,(-1.0316225229143827,)
2802,(-1.0316225257277558,)
2881,(-1.0316225264449819,)
2885,(-1.0316225294742907,)
2930,(-1.0316225297396313,)
3064,(-1.0316225320998287,)
3146,(-1.0316225322659078,)
3182,(-1.03162253262254,)
3266,(-1.0316225327278108,)
3285,(-1.0316225341481393,)
3366,(-1.0316225350847144,)
3370,(-1.0316225363709217,)
3377,(-1.031622539452932,)
