Evaluations,Fitness
1,1756.5705535276352
4,1729.5061176921347
5,1609.3824247156335
33,1527.4282205403615
36,1358.6129255102583
73,1242.1434449527903
158,1217.101423912342
252,1119.3444320577146
318,1106.0193300310611
557,1021.2203676792878
765,1000.0951697075982
840,985.223815903412
943,910.6051362192718
1164,892.9431287954809
1307,852.94785413969
1438,847.0439365863904
1445,820.2294466763924
1530,805.8315362622692
1764,789.9058030969665
1797,770.6490028142792
1805,738.5902714125835
1890,727.427507711244
2154,703.6662873842649
2286,655.6048876668755
2736,636.5049253542143
2836,618.6511651673765
3088,549.6213288753324
3185,537.8819378369432
3384,506.5395382760766
3859,477.56873931458995
4039,475.8134086423867
4064,475.13586044883516
4079,470.3346393746451
4142,467.4186870714946
4242,464.07401760399745
4250,443.8141433210137
4455,433.8811578149562
4664,420.3997964331309
4665,406.9086415064887
4767,395.93275215676897
5255,351.13432454058045
6049,351.0407465432075
6462,349.9164865365675
7080,347.88709633992505
7092,345.70891737246285
7912,344.29630751787363
8290,318.2684314547332
8482,317.1367099968314
9439,313.9801500799363
11848,312.985916936815
13136,312.901693842716
13352,311.7405657688244
13754,309.67049126380505
14260,308.49566041121136
14551,305.9235660086191
14842,303.26296468765577
