Evaluations,Fitness
1,1737.0353259452017
3,1649.060934111979
5,1444.137185772512
13,1372.0899919716458
15,1361.3650766515839
20,1223.7410133501776
159,1214.015166053605
218,1152.5580404826733
402,1135.4083448797228
411,1054.7538014231773
510,1023.9511075484311
516,1015.7936046231569
613,1011.5444780674347
654,1004.3191999449507
674,967.610129466056
770,951.1886794625491
1046,940.3676508954079
1048,927.5721977295805
1146,856.9816971319381
1247,811.4787378138533
1341,807.9533079696478
1344,803.403533423054
1538,797.3880046912459
1598,782.4496828879821
1690,735.6051488316734
1988,715.056447240732
2070,690.2522450466777
2341,673.9311345193177
2376,614.0396392162694
2777,594.2202954418603
3254,585.7634109702193
3464,581.4871451213518
3641,579.348609285799
3760,575.0723434369313
3899,557.6875131618691
4719,554.9327945088266
4809,552.6520793132149
5015,522.153482817636
5670,518.6421232780178
6005,518.5317432288882
6359,518.3560760513847
6411,505.4288338357755
6518,491.2108302834726
7825,486.6757537249788
8663,478.1123162636212
9468,477.92183919313607
9771,474.1708685606227
9773,459.5443508785478
9774,452.3828936546015
11426,448.53973854942075
13019,447.85305920473456
13130,446.00369842611605
14427,442.18492010930004
14529,438.7370842190569
