Evaluations,Fitness
1,283225.4353439795
5,277019.684890578
14,273249.1665039477
41,246363.74019485645
48,238953.0104631646
56,237052.77285137706
142,222455.86454940232
254,208132.5456865614
255,200603.81143691466
314,186914.82104604668
347,180445.9819230263
499,177065.64734447686
537,164115.0964156364
674,158388.10687810733
782,151755.4003298227
975,147534.7443837887
1066,142880.34122422754
1077,137724.48265198834
1182,132984.8806330641
1282,127291.21967027361
1376,118257.8341077976
1754,117702.37091530785
1953,110165.47445468232
2068,95707.15037281888
2563,94264.78713238407
2598,93606.06527016276
2659,89094.77148252957
2713,88908.05878863757
2854,86883.61616267978
3181,86473.04278853413
3185,84721.90605433051
3210,82697.5054501303
3312,73845.44322227957
3870,72110.03633412442
4232,71483.61878913699
4293,67969.61044611089
4560,66362.05106189265
4724,63677.02382742194
4831,63271.6039645857
5025,60980.72840644493
5810,60956.996566170106
5839,60000.85375106356
6012,55737.66829112623
6715,50232.762082870846
6837,49728.52109564323
6931,47923.07993837875
6934,47006.858314149984
7228,46665.860341006046
7745,45510.74776253283
7814,43287.51517812443
8062,40775.721036281335
10232,40617.87061936131
10514,40354.983759498915
10611,39908.80183884135
10874,39667.44771147612
11214,39596.41771032799
11587,37295.35791885163
13767,36306.655070598325
14271,36134.31322220777
14762,35096.48824244534
